area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
PCT7542	ED	787	183	0	0	0	50	133	1	104	28
PCT7542	MV	787	247	1	0	0	66	180	0	160	20
PCT7543	ED	910	187	-2	0	0	44	145	3	120	22
PCT7543	MV	910	332	0	0	0	69	263	1	228	34
PCT7544	ED	877	186	0	0	0	52	134	2	107	25
PCT7544	MV	877	331	-3	0	0	85	249	1	199	49
PCT7545	ED	877	179	-1	0	0	40	140	0	111	29
PCT7545	MV	877	291	0	0	0	58	233	2	201	30
PCT7546	ED	913	219	0	0	0	59	160	1	135	24
PCT7546	MV	913	310	1	0	0	68	241	0	210	31
PCT7547	ED	987	244	-2	0	0	63	183	3	150	30
PCT7547	MV	987	322	5	0	0	93	224	3	189	32
PCT7548	ED	1054	236	1	0	0	50	185	3	151	31
PCT7548	MV	1054	345	4	0	0	77	264	3	212	49
PCT7549	ED	785	165	-2	0	0	39	128	1	110	17
PCT7549	MV	785	281	1	0	0	67	213	1	182	30
PCT7551	ED	705	199	-1	0	0	52	148	0	119	29
PCT7551	MV	705	240	2	0	0	61	177	2	159	16
PCT7552	ED	718	191	0	0	0	36	155	1	128	26
PCT7552	MV	718	232	0	0	0	48	184	0	157	27
PCT7553	MV	171	87	2	0	0	7	78	0	66	12
PCT7554	ED	785	179	-1	0	0	48	132	2	101	29
PCT7554	MV	785	323	0	0	0	71	252	3	216	33
PCT7555	ED	847	242	0	0	0	55	187	1	157	29
PCT7555	MV	847	304	1	0	0	66	237	2	210	25
PCT7556	ED	961	223	-3	0	0	66	160	0	133	27
PCT7556	MV	961	422	1	0	0	80	341	0	317	24
PCT7601	ED	744	128	-1	0	0	28	101	2	70	29
PCT7601	MV	744	185	3	0	0	45	137	4	108	25
PCT7602	ED	880	147	-3	0	0	35	115	0	86	29
PCT7602	MV	880	243	3	0	1	50	189	3	154	32
PCT7603	ED	826	152	1	0	0	38	113	1	89	23
PCT7603	MV	826	215	0	0	0	48	167	0	140	27
PCT7604	ED	906	133	0	0	0	32	101	4	69	28
PCT7604	MV	906	233	-2	0	0	48	187	4	138	45
PCT7605	ED	651	77	0	0	0	18	59	3	38	18
PCT7605	MV	651	155	3	0	0	29	123	2	100	21
PCT7606	ED	895	127	1	0	0	27	99	1	77	21
PCT7606	MV	895	212	1	0	0	51	160	5	113	42
PCT7607	ED	955	120	0	0	0	21	99	1	76	22
PCT7607	MV	955	265	-4	0	1	60	208	2	165	41
PCT7608	ED	388	46	1	0	0	11	34	0	26	8
PCT7608	MV	388	119	-2	0	0	19	102	2	85	15
PCT7609	ED	916	101	0	0	0	33	68	1	46	21
PCT7609	MV	916	297	2	0	1	66	228	2	190	36
PCT7611	ED	756	76	0	0	0	20	56	1	42	13
PCT7611	MV	756	204	2	0	0	33	169	3	144	22
PCT7612	ED	574	76	0	0	1	16	59	0	50	9
PCT7612	MV	574	210	-1	0	0	56	155	1	138	16
PCT7613	ED	887	140	0	0	0	30	110	1	78	31
PCT7613	MV	887	215	2	0	0	37	176	0	136	40
PCT7614	ED	1015	123	-2	0	0	34	91	1	62	28
PCT7614	MV	1015	238	0	0	0	39	199	3	153	43
PCT7615	ED	832	108	0	0	2	27	79	4	50	25
PCT7615	MV	832	170	0	0	0	35	135	4	109	22
PCT7616	ED	951	129	-1	0	0	15	115	3	83	29
PCT7616	MV	951	331	2	0	0	60	269	1	231	37
PCT7617	ED	751	84	-1	0	0	16	69	0	46	23
PCT7617	MV	751	223	2	0	1	48	172	2	136	34
PCT7618	ED	866	123	1	0	0	40	82	3	56	23
PCT7618	MV	866	272	-3	0	0	53	222	3	193	26
PCT7619	ED	993	154	-1	0	0	48	107	1	80	26
PCT7619	MV	993	308	-1	0	0	62	247	4	188	55
PCT7621	ED	1132	163	-1	0	0	41	123	3	95	25
PCT7621	MV	1132	346	3	0	2	52	289	6	248	35
PCT7622	ED	964	99	2	0	0	23	74	0	50	24
PCT7622	MV	964	193	1	0	2	42	148	1	111	36
PCT7623	ED	712	122	-15	0	0	42	95	9	62	24
PCT7623	MV	712	196	2	0	0	36	158	0	131	27
PCT7624	ED	905	104	1	0	0	21	82	0	62	20
PCT7624	MV	905	195	1	0	0	42	152	0	125	27
PCT7625	ED	821	73	0	0	0	23	50	0	40	10
PCT7625	MV	821	415	0	0	2	97	316	2	273	41
