area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
PCT7504	ED	484	76	0	0	0	10	66	0	50	3	5	2	0	4	2
PCT7504	MV	484	158	1	0	0	15	142	1	100	11	9	6	2	11	2
PCT7505	ED	871	131	0	0	0	11	120	0	89	7	5	3	0	13	3
PCT7505	MV	871	417	1	0	0	36	380	1	305	12	9	10	4	35	4
PCT7506	ED	920	133	1	0	0	13	119	1	75	14	12	5	8	4	0
PCT7506	MV	920	252	2	0	0	19	231	0	159	14	20	8	6	20	4
PCT7507	ED	919	158	-1	0	1	23	135	0	107	8	7	3	2	4	4
PCT7507	MV	919	255	4	0	0	22	229	0	175	9	12	12	4	17	0
PCT7508	ED	702	106	0	0	0	10	96	0	68	5	6	2	1	11	3
PCT7508	MV	702	340	0	0	2	26	312	0	236	17	16	6	3	31	3
PCT7509	ED	909	171	-2	0	0	14	159	2	113	10	13	6	0	11	4
PCT7509	MV	909	319	0	0	0	12	307	0	229	16	23	12	4	17	6
PCT7512	ED	604	96	2	0	0	9	85	2	56	6	6	2	4	8	1
PCT7512	MV	604	196	2	0	2	11	181	0	107	5	11	16	13	27	2
PCT7513	ED	790	142	0	0	1	14	127	0	93	8	15	4	3	3	1
PCT7513	MV	790	208	0	0	3	20	185	0	135	7	14	6	4	19	0
PCT7514	ED	863	95	-2	0	0	17	80	0	67	1	3	1	2	3	3
PCT7514	MV	863	235	2	0	1	26	206	0	150	11	9	6	6	21	3
PCT7515	ED	845	150	0	0	0	20	130	1	98	7	13	3	1	6	1
PCT7515	MV	845	289	3	0	0	23	263	0	203	12	18	5	4	18	3
PCT7516	ED	886	145	0	0	0	13	132	0	99	8	4	5	1	11	4
PCT7516	MV	886	378	0	0	1	23	354	1	259	14	16	12	10	33	9
PCT7517	ED	863	228	-1	0	0	16	213	0	154	11	24	14	1	4	5
PCT7517	MV	863	251	0	0	0	19	232	0	170	15	28	9	2	4	4
PCT7518	ED	939	235	0	0	1	12	222	0	143	16	39	9	1	5	9
PCT7518	MV	939	298	0	0	0	13	285	0	194	9	43	17	4	13	5
PCT7519	ED	726	179	0	0	0	9	170	1	105	13	35	10	0	4	2
PCT7519	MV	726	185	1	0	0	21	163	0	108	10	22	15	1	5	2
PCT7521	ED	802	211	0	0	1	13	197	1	129	10	25	22	1	5	4
PCT7521	MV	802	215	-1	0	3	22	191	0	126	13	31	15	0	2	4
PCT7522	ED	743	175	-1	0	0	13	163	1	102	7	29	15	0	4	5
PCT7522	MV	743	240	-2	0	0	12	230	0	159	17	37	8	2	3	4
PCT7523	ED	737	208	0	0	0	18	190	0	108	11	43	17	0	4	7
PCT7523	MV	737	223	-2	0	0	17	208	0	148	9	30	7	2	5	7
PCT7524	ED	646	143	2	0	2	11	128	0	97	10	9	3	2	3	4
PCT7524	MV	646	165	1	0	0	7	157	0	114	14	13	7	2	5	2
PCT7525	ED	779	145	-3	0	0	13	135	0	101	7	14	5	1	3	4
PCT7525	MV	779	214	4	0	1	16	193	0	156	13	11	5	1	3	4
PCT7526	ED	947	197	1	0	1	7	188	1	136	13	24	5	1	4	4
PCT7526	MV	947	313	2	0	0	25	286	0	196	18	37	12	5	10	8
PCT7527	ED	729	162	0	0	1	23	138	0	86	4	23	12	1	10	2
PCT7527	MV	729	237	4	0	0	19	214	0	145	17	23	9	2	15	3
