area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
PCT7034	ED	914	97	0	0	1	3	0	93	0	1	76	8	3	1	1	0	3	0
PCT7034	MV	914	154	-1	0	0	0	0	155	0	0	131	8	6	2	6	1	1	0
PCT7035	ED	553	73	0	0	0	0	0	73	0	0	44	13	10	0	4	1	1	0
PCT7035	MV	553	170	1	0	0	1	0	168	0	1	99	33	18	3	8	1	5	0
PCT7036	ED	898	52	0	0	0	0	0	52	0	2	24	7	10	1	4	0	4	0
PCT7036	MV	898	265	0	0	0	1	0	264	2	6	92	41	40	7	33	0	43	0
PCT7037	ED	730	73	0	0	0	1	0	72	0	1	56	7	6	1	1	0	0	0
PCT7037	MV	730	64	2	0	0	0	0	62	0	0	32	10	8	3	2	0	7	0
PCT7038	ED	880	84	0	0	0	1	0	83	0	3	55	11	4	1	5	2	2	0
PCT7038	MV	880	255	-1	0	0	6	0	250	1	1	111	51	36	5	16	1	28	0
PCT7039	ED	768	111	-1	0	0	1	0	111	0	3	41	17	24	2	11	1	12	0
PCT7039	MV	768	225	-2	0	2	5	0	220	0	0	98	40	29	8	16	1	28	0
PCT7041	MV	60	24	0	0	0	3	0	21	0	0	4	3	10	1	0	0	3	0
PCT7042	ED	632	75	-1	0	0	0	0	76	1	2	34	6	18	1	6	1	7	0
PCT7042	MV	632	191	1	0	0	2	0	188	0	1	85	31	32	3	14	0	22	0
PCT7043	ED	915	97	0	0	0	2	0	95	0	0	59	8	20	0	5	2	1	0
PCT7043	MV	915	282	0	0	2	3	0	277	0	3	108	57	50	5	22	1	31	0
PCT7044	ED	805	86	1	0	0	0	0	85	0	0	69	2	7	0	4	0	3	0
PCT7044	MV	805	125	-3	0	0	1	0	127	0	2	68	13	20	4	3	0	17	0
PCT7045	ED	763	87	0	0	0	2	0	85	0	0	40	8	22	2	5	2	6	0
PCT7045	MV	763	282	0	0	1	1	0	280	0	2	114	42	37	7	13	2	63	0
PCT7046	ED	385	54	0	0	0	1	0	53	0	0	31	11	5	1	2	0	3	0
PCT7046	MV	385	136	-1	0	1	1	0	135	0	0	64	10	17	5	12	1	26	0
PCT7047	ED	781	68	-1	0	0	1	0	68	0	0	37	13	13	0	3	0	2	0
PCT7047	MV	781	298	0	0	1	0	0	297	1	2	125	45	63	3	23	1	34	0
PCT7048	ED	815	94	0	0	0	1	0	93	0	0	59	8	16	1	7	0	2	0
PCT7048	MV	815	248	-3	0	1	0	0	250	0	1	138	18	48	2	12	1	30	0
PCT7049	ED	751	108	0	0	0	2	0	106	1	1	40	14	18	1	15	0	16	0
PCT7049	MV	751	241	-2	0	0	4	0	239	0	4	87	36	46	6	14	1	45	0
PCT7051	ED	839	70	-1	0	1	0	0	70	1	0	25	13	23	2	5	0	1	0
PCT7051	MV	839	302	2	0	2	2	0	296	0	1	120	40	50	7	19	2	57	0
PCT7052	ED	806	120	-1	0	0	0	0	121	0	0	52	25	18	3	11	0	12	0
PCT7052	MV	806	278	-1	0	0	0	0	279	0	0	108	53	42	13	18	1	44	0
PCT7053	ED	548	44	0	0	0	0	0	44	0	0	21	9	9	2	0	1	2	0
PCT7053	MV	548	205	-2	0	0	4	0	203	1	0	85	51	30	8	15	0	13	0
PCT7054	ED	1024	141	0	0	1	0	0	140	0	2	94	11	26	1	5	0	1	0
PCT7054	MV	1024	275	-2	0	1	3	0	273	0	0	157	36	33	6	22	1	18	0
PCT7055	ED	699	83	-1	0	0	1	0	83	0	0	36	8	32	1	5	0	1	0
