area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSCd1	RSCd2	RSPnd	RSCha
PCT1118	MV	AINPP	2	2	2			0	0
PCT1118	MV	DEM	471	258	249			0	9
PCT1118	MV	DEMNPP	45	36	33			0	3
PCT1118	MV	GRN	7	0	0			0	0
PCT1118	MV	LIB	4	1	1			0	0
PCT1118	MV	LIBNPP	2	2	2			0	0
PCT1118	MV	PF	2	0	0			0	0
PCT1118	MV	REP	30	14	14			0	0
PCT1118	MV	NPP	266	70	70			0	0
PCT1118	MV	NPPALL	315	110	107			0	3
PCT1119	TO	ALL	797	428	422				
PCT1119	TO	AI	13						
PCT1119	TO	DEM	476						
PCT1119	TO	GRN	3						
PCT1119	TO	LIB	3						
PCT1119	TO	PF	6						
PCT1119	TO	REP	46						
PCT1119	TO	NPP	250						
PCT1119	TO	NPPALL	250						
PCT1119	ED	ALL	138	117	117				
PCT1119	ED	AI	4						
PCT1119	ED	DEM	83						
PCT1119	ED	GRN	2						
PCT1119	ED	LIB	0						
PCT1119	ED	PF	0						
PCT1119	ED	REP	6						
PCT1119	ED	NPP	73						
PCT1119	ED	NPPALL	73						
PCT1119	MV	ALL	659	311	305			0	5
PCT1119	MV	AI	9	2	2			0	0
PCT1119	MV	AINPP	4	3	3			0	0
PCT1119	MV	DEM	393	219	218			0	1
PCT1119	MV	DEMNPP	25	19	15			0	4
PCT1119	MV	GRN	1	0	0			0	0
PCT1119	MV	LIB	4	0	0			0	0
PCT1119	MV	LIBNPP	0	0	0			0	0
PCT1119	MV	PF	6	3	3			0	0
PCT1119	MV	REP	40	13	13			0	0
PCT1119	MV	NPP	177	52	52			0	0
PCT1119	MV	NPPALL	206	74	70			0	4
PCT1121	TO	ALL	705	401	391				
PCT1121	TO	AI	10						
PCT1121	TO	DEM	399						
PCT1121	TO	GRN	2						
PCT1121	TO	LIB	5						
PCT1121	TO	PF	8						
PCT1121	TO	REP	42						
PCT1121	TO	NPP	239						
PCT1121	TO	NPPALL	239						
PCT1121	ED	ALL	149	122	122				
PCT1121	ED	AI	0						
PCT1121	ED	DEM	80						
PCT1121	ED	GRN	2						
PCT1121	ED	LIB	2						
PCT1121	ED	PF	0						
PCT1121	ED	REP	5						
PCT1121	ED	NPP	87						
PCT1121	ED	NPPALL	87						
PCT1121	MV	ALL	556	279	269			0	9
PCT1121	MV	AI	10	3	3			0	0
PCT1121	MV	AINPP	4	4	4			0	0
