area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	78:SCOTT WIENER	77:ERIN SMITH	79:JACKIE FIELDER
PCT7318	TO	723	444	0	2	66	376	0	246	49	81
PCT7319	MV	861	346	0	1	34	311	0	165	44	102
PCT7319	ED	188	208	0	0	24	184	1	116	21	46
PCT7319	TO	1049	554	0	1	58	495	1	281	65	148
PCT7321	MV	557	202	0	2	25	175	0	101	21	53
PCT7321	ED	102	106	0	0	18	88	0	50	11	27
PCT7321	TO	659	308	0	2	43	263	0	151	32	80
PCT7322	MV	742	296	0	3	44	249	0	172	29	48
PCT7322	ED	146	56	0	1	4	51	0	22	5	24
PCT7322	TO	888	352	0	4	48	300	0	194	34	72
PCT7323	MV	790	369	0	0	39	330	0	213	42	75
PCT7323	ED	166	179	0	0	27	152	1	86	15	50
PCT7323	TO	956	548	0	0	66	482	1	299	57	125
PCT7324	MV	587	260	0	0	24	236	0	157	15	64
PCT7324	ED	150	135	0	0	21	114	0	63	12	39
PCT7324	TO	737	395	0	0	45	350	0	220	27	103
PCT7325	MV	714	328	0	0	47	281	0	167	31	83
PCT7325	ED	172	181	0	0	26	155	1	86	15	53
PCT7325	TO	886	509	0	0	73	436	1	253	46	136
PCT7326	MV	685	304	0	1	31	272	0	163	33	76
PCT7326	ED	174	187	0	1	28	158	1	98	15	44
PCT7326	TO	859	491	0	2	59	430	1	261	48	120
PCT7327	MV	561	230	0	1	23	206	0	139	35	32
PCT7327	ED	126	59	0	0	8	51	0	26	5	20
PCT7327	TO	687	289	0	1	31	257	0	165	40	52
PCT7328	MV	829	333	0	0	44	289	0	186	46	57
PCT7328	ED	173	85	0	0	12	73	0	32	9	32
PCT7328	TO	1002	418	0	0	56	362	0	218	55	89
PCT7329	MV	556	228	0	0	23	205	0	129	46	30
PCT7329	ED	95	105	0	0	19	86	1	50	11	24
PCT7329	TO	651	333	0	0	42	291	1	179	57	54
PCT7331	MV	710	363	0	1	28	334	0	217	65	52
PCT7331	ED	160	170	0	0	30	140	0	86	32	22
PCT7331	TO	870	533	0	1	58	474	0	303	97	74
PCT7332	MV	654	265	0	1	30	234	0	122	30	82
PCT7332	ED	136	173	0	0	22	151	0	76	9	66
PCT7332	TO	790	438	0	1	52	385	0	198	39	148
PCT7333	MV	822	392	0	0	38	354	0	204	33	117
