area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	13:JULIÁN CASTRO	14:MICHAEL A. ELLINGER	15:ELIZABETH WARREN	16:MARIANNE WILLIAMSON	17:ANDREW YANG	18:ROQUE "ROCKY" DE LA FUENTE III	19:JOHN K. DELANEY	20:AMY KLOBUCHAR	21:BERNIE SANDERS	22:JOE SESTAK	23:TOM STEYER	24:DEVAL PATRICK	25:MICHAEL BENNET	26:MICHAEL R. BLOOMBERG	27:MOSIE BOYD	28:CORY BOOKER	29:PETE BUTTIGIEG	30:JOSEPH R. BIDEN	31:TULSI GABBARD	32:MARK STEWART GREENSTEIN	178:NAKIA L. ANTHONY	179:DAPHNE DENISE BRADFORD	180:WILLIE FELIX CARTER	181:MICHAEL DENAME	182:JEFFREY H. DROBMAN	183:ROBERT JORDAN	184:HEATHER MARIE STAGG
PCT1136	MV	709	89	0	0	1	88	0	0	0	2	0	3	0	0	3	34	0	7	1	0	13	0	1	9	15	0	0	0	0	0	0	0	0	0
PCT1136	ED	158	65	0	1	0	64	0	0	0	5	0	1	0	0	0	34	0	2	0	0	3	0	1	0	17	0	1	0	0	0	0	0	0	0
PCT1136	TO	867	154	0	1	1	152	0	0	0	7	0	4	0	0	3	68	0	9	1	0	16	0	2	9	32	0	1	0	0	0	0	0	0	0
PCT1141	MV	834	100	0	0	1	99	0	0	0	11	0	1	0	0	0	29	0	4	0	0	21	0	0	12	20	1	0	0	0	0	0	0	0	0
PCT1141	ED	222	113	0	0	0	113	0	0	0	16	0	1	0	0	1	54	0	1	0	1	5	0	0	0	33	1	0	0	0	0	0	0	0	0
PCT1141	TO	1056	213	0	0	1	212	0	0	0	27	0	2	0	0	1	83	0	5	0	1	26	0	0	12	53	2	0	0	0	0	0	0	0	0
PCT1142	MV	721	78	0	1	1	76	0	0	0	13	0	1	0	0	1	31	0	1	0	0	11	0	0	5	11	2	0	0	0	0	0	0	0	0
PCT1142	ED	175	78	0	0	0	78	0	0	0	16	0	0	0	0	0	32	0	1	0	0	3	0	0	0	25	1	0	0	0	0	0	0	0	0
PCT1142	TO	896	156	0	1	1	154	0	0	0	29	0	1	0	0	1	63	0	2	0	0	14	0	0	5	36	3	0	0	0	0	0	0	0	0
PCT1143	MV	822	96	0	0	0	96	0	0	0	12	1	3	0	0	4	43	1	1	0	0	13	0	0	5	12	1	0	0	0	0	0	0	0	0
