area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	87:KULVINDAR "RANI" SINGH	88:CAROLYN GOLD
PCT7335	TO	934	529	0	0	110	419	2	238	179
PCT7336	MV	778	396	0	0	95	301	0	178	123
PCT7336	ED	176	128	0	0	30	98	0	44	54
PCT7336	TO	954	524	0	0	125	399	0	222	177
PCT7337	MV	772	379	0	0	80	299	0	181	118
PCT7337	ED	125	84	0	0	14	70	0	39	31
PCT7337	TO	897	463	0	0	94	369	0	220	149
PCT7338	MV	769	353	0	0	88	265	0	172	93
PCT7338	ED	126	70	0	0	17	53	0	25	28
PCT7338	TO	895	423	0	0	105	318	0	197	121
PCT7339	MV	605	262	0	0	45	217	0	111	106
PCT7339	ED	150	89	0	0	13	76	1	33	42
PCT7339	TO	755	351	0	0	58	293	1	144	148
PCT7341	MV	675	288	0	0	60	228	0	105	123
PCT7341	ED	178	131	0	2	25	104	1	38	65
PCT7341	TO	853	419	0	2	85	332	1	143	188
PCT7342	MV	673	316	0	0	54	262	0	128	134
PCT7342	ED	231	200	0	0	42	158	2	66	90
PCT7342	TO	904	516	0	0	96	420	2	194	224
PCT7343	MV	554	242	0	0	47	195	0	80	115
PCT7343	ED	150	116	0	0	27	89	2	27	60
PCT7343	TO	704	358	0	0	74	284	2	107	175
PCT7344	MV	863	378	0	0	97	281	0	137	144
PCT7344	ED	201	160	0	0	31	129	2	48	79
PCT7344	TO	1064	538	0	0	128	410	2	185	223
PCT7345	MV	903	418	0	0	81	337	0	146	191
PCT7345	ED	211	170	0	1	31	138	5	44	89
PCT7345	TO	1114	588	0	1	112	475	5	190	280
PCT7346	MV	680	280	0	0	62	218	0	88	130
PCT7346	ED	209	126	0	0	21	105	3	34	68
PCT7346	TO	889	406	0	0	83	323	3	122	198
PCT7347	MV	833	356	0	0	67	289	0	96	193
PCT7347	ED	170	98	0	0	20	78	1	21	56
PCT7347	TO	1003	454	0	0	87	367	1	117	249
PCT7348	MV	649	268	0	0	55	213	0	84	129
PCT7348	ED	194	100	0	1	15	84	2	29	53
PCT7348	TO	843	368	0	1	70	297	2	113	182
PCT7349	MV	710	310	0	0	64	246	0	123	123
PCT7349	ED	202	104	0	0	24	80	0	28	52
PCT7349	TO	912	414	0	0	88	326	0	151	175
PCT7501	MV	456	241	0	0	71	170	0	114	56
PCT7501	ED	95	90	0	0	20	70	0	44	26
PCT7501	TO	551	331	0	0	91	240	0	158	82
PCT7502	MV	668	310	0	0	67	243	0	148	95
