area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	89:KAT ANDERSON	90:NADIA RAHMAN	91:MANO RAJU	92:ABRA PAULINE CASTLE	93:QUEENA CHEN	94:CYN WANG	95:LEAH LACROIX	96:SUZY LOFTUS	97:LI MIAO LOVETT	98:JANICE LI	99:JANE NATOLI	100:AHSHA SAFAI	101:GORDON MAR	102:SEEYEW MO	103:FAAUUGA MOLIGA	104:PAUL MIYAMOTO	105:MARY JUNG	106:KEITH BARAKA	107:KELLY AKEMI GROTH	108:A. J. THOMAS	109:MAWULI TUGBENYOH
PCT9202	ED	107	163	0	0	1195	435	0	30	8	20	8	20	14	22	31	23	26	18	15	25	8	21	21	26	38	22	29	10
PCT9202	TO	581	429	0	1	2750	1530	0	73	40	79	34	76	52	97	107	74	92	68	61	89	33	81	71	76	108	83	99	37
PCT9203	MV	423	227	0	0	1482	788	0	43	22	34	18	31	32	48	71	34	46	40	39	43	27	29	43	50	46	31	37	24
PCT9203	ED	59	118	0	0	828	352	0	25	17	21	8	16	15	17	24	13	11	20	20	17	14	10	17	19	27	15	17	9
PCT9203	TO	482	345	0	0	2310	1140	0	68	39	55	26	47	47	65	95	47	57	60	59	60	41	39	60	69	73	46	54	33
PCT9204	MV	340	180	0	1	1115	675	0	55	27	30	15	23	28	37	63	19	30	35	28	32	21	24	39	47	46	27	32	17
PCT9204	ED	99	139	0	0	946	444	0	35	12	27	10	20	13	25	48	18	21	15	24	24	15	11	23	25	29	14	26	9
PCT9204	TO	439	319	0	1	2061	1119	0	90	39	57	25	43	41	62	111	37	51	50	52	56	36	35	62	72	75	41	58	26
PCT9205	MV	350	204	0	0	1340	700	0	37	23	41	15	31	29	45	57	29	35	31	25	46	12	32	39	43	51	27	41	11
PCT9205	ED	46	100	0	0	772	228	0	12	4	10	7	7	6	15	17	8	16	7	15	13	7	10	12	18	17	12	10	5
PCT9205	TO	396	304	0	0	2112	928	0	49	27	51	22	38	35	60	74	37	51	38	40	59	19	42	51	61	68	39	51	16
PCT9206	MV	336	195	0	0	1240	710	0	57	31	26	27	23	32	32	64	27	16	40	30	35	22	27	44	42	46	31	39	19
PCT9206	ED	95	129	0	0	953	337	0	21	12	21	10	8	12	15	33	13	18	13	19	18	9	16	19	20	18	15	14	13
PCT9206	TO	431	324	0	0	2193	1047	0	78	43	47	37	31	44	47	97	40	34	53	49	53	31	43	63	62	64	46	53	32
PCT9207	MV	390	237	0	0	1433	937	0	63	45	50	19	36	40	52	70	29	49	45	45	53	33	35	54	56	55	39	42	27
PCT9207	ED	89	130	0	0	916	384	0	33	16	14	13	12	14	22	27	17	15	25	17	21	10	16	23	27	26	15	11	10
PCT9207	TO	479	367	0	0	2349	1321	0	96	61	64	32	48	54	74	97	46	64	70	62	74	43	51	77	83	81	54	53	37
PCT9208	MV	413	248	0	0	1580	900	0	53	38	51	20	32	38	44	71	40	43	44	44	45	30	33	52	48	60	38	49	27
PCT9208	ED	86	127	0	1	853	407	0	25	10	20	10	19	9	26	38	18	17	21	20	22	11	14	20	25	29	22	21	10
PCT9208	TO	499	375	0	1	2433	1307	0	78	48	71	30	51	47	70	109	58	60	65	64	67	41	47	72	73	89	60	70	37
PCT9209	MV	305	170	0	0	1077	623	0	36	22	33	12	27	19	34	46	34	37	26	28	38	18	26	29	36	41	31	34	16
PCT9209	ED	83	129	0	0	1015	275	0	16	11	19	6	11	10	17	31	8	6	12	14	15	8	10	14	14	24	11	12	6
PCT9209	TO	388	299	0	0	2092	898	0	52	33	52	18	38	29	51	77	42	43	38	42	53	26	36	43	50	65	42	46	22
PCT9211	MV	403	214	0	0	1443	697	0	43	27	35	13	27	31	40	57	24	41	42	30	34	22	32	30	40	48	29	32	20
PCT9211	ED	91	122	0	0	919	301	0	20	14	15	6	18	11	16	25	12	12	17	10	14	9	10	17	19	26	10	16	4
PCT9211	TO	494	336	0	0	2362	998	0	63	41	50	19	45	42	56	82	36	53	59	40	48	31	42	47	59	74	39	48	24
PCT9212	MV	375	205	0	0	1235	815	0	44	33	41	12	36	45	54	53	34	32	39	37	40	29	40	37	46	54	42	40	27
PCT9212	ED	68	125	0	1	887	353	0	20	9	23	8	16	18	23	27	14	22	18	15	17	8	14	14	20	22	16	23	6
PCT9212	TO	443	330	0	1	2122	1168	0	64	42	64	20	52	63	77	80	48	54	57	52	57	37	54	51	66	76	58	63	33
PCT9213	MV	433	237	0	0	1293	1077	0	42	28	64	18	52	33	64	74	51	70	43	51	75	25	61	48	50	66	58	69	35
PCT9213	ED	97	152	0	0	1059	461	0	30	14	22	12	22	24	26	39	14	22	23	24	22	15	24	20	26	25	20	24	13
PCT9213	TO	530	389	0	0	2352	1538	0	72	42	86	30	74	57	90	113	65	92	66	75	97	40	85	68	76	91	78	93	48
PCT9214	MV	264	132	0	2	802	498	0	34	18	20	10	11	15	30	43	16	29	32	34	36	11	14	30	29	23	17	27	19
PCT9214	ED	55	108	0	0	820	260	0	21	6	13	8	10	9	15	21	13	11	15	9	10	9	10	15	23	18	8	12	4
PCT9214	TO	319	240	0	2	1622	758	0	55	24	33	18	21	24	45	64	29	40	47	43	46	20	24	45	52	41	25	39	23
PCT9215	MV	275	162	0	0	976	644	0	40	25	29	9	21	33	40	53	28	34	30	25	33	24	26	41	47	37	24	25	20
PCT9215	ED	61	96	0	0	735	225	0	21	12	9	3	7	11	12	23	7	6	10	11	11	5	7	17	20	15	7	2	9
PCT9215	TO	336	258	0	0	1711	869	0	61	37	38	12	28	44	52	76	35	40	40	36	44	29	33	58	67	52	31	27	29
PCT9216	MV	336	163	0	0	946	684	0	40	24	36	12	24	26	49	47	21	40	36	38	43	21	26	35	55	38	29	24	20
PCT9216	ED	81	152	0	0	1060	460	0	35	12	21	17	17	17	25	43	17	23	22	14	29	13	22	19	28	40	17	22	7
PCT9216	TO	417	315	0	0	2006	1144	0	75	36	57	29	41	43	74	90	38	63	58	52	72	34	48	54	83	78	46	46	27
PCT9217	MV	310	190	0	2	1214	666	0	47	24	34	17	24	29	36	46	24	32	37	37	33	20	29	37	36	43	28	33	20
PCT9217	ED	56	106	0	0	739	321	0	21	9	17	12	9	11	19	25	11	12	19	13	20	7	16	17	19	22	14	22	6
