area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	145:LISA REMMER	146:JOSEPH C ROBERTS	147:STEPHEN WAID	148:LEO LACAYO	149:RYAN LAM	150:CHRISTIAN FOSTER	151:JOSH YORK	152:EVE DEL CASTELLO	153:CHRIS WARD KLINE	154:ERIN SMITH	155:LARRY MARSO	156:NICOLE GARAY	157:CALE GARVERICK	158:KRISTA GARVERICK
PCT7030	TO	795	21	0	0	146	85	0	6	4	6	3	11	6	3	5	8	9	4	5	7	8
PCT7031	MV	622	13	0	0	107	36	0	4	2	3	2	3	1	1	1	4	5	3	2	4	1
PCT7031	ED	72	3	0	0	13	20	0	3	1	2	1	0	3	1	0	0	2	1	3	1	2
PCT7031	TO	694	16	0	0	120	56	0	7	3	5	3	3	4	2	1	4	7	4	5	5	3
PCT7032	MV	643	11	0	0	73	48	0	5	2	6	3	3	2	5	1	3	3	5	3	2	5
PCT7032	ED	238	4	0	0	38	6	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0
PCT7032	TO	881	15	0	0	111	54	0	6	3	6	4	4	3	5	1	4	3	5	3	2	5
PCT7033	MV	549	7	0	0	41	36	0	4	3	2	3	4	4	2	1	3	4	2	1	1	2
PCT7033	ED	229	6	0	0	49	17	0	1	2	1	3	1	1	2	2	1	1	0	1	1	0
PCT7033	TO	778	13	0	0	90	53	0	5	5	3	6	5	5	4	3	4	5	2	2	2	2
PCT7034	MV	620	5	0	0	53	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PCT7034	ED	318	2	0	0	18	4	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
PCT7034	TO	938	7	0	0	71	6	0	0	0	0	0	1	0	0	0	0	3	0	1	1	0
PCT7035	MV	567	8	0	0	50	38	0	3	3	3	1	3	2	3	3	1	4	3	2	4	3
PCT7035	ED	152	1	0	0	10	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PCT7035	TO	719	9	0	0	60	39	0	3	3	3	1	4	2	3	3	1	4	3	2	4	3
PCT7036	MV	781	25	0	0	133	142	0	12	10	11	11	7	8	11	9	11	11	12	13	8	8
PCT7036	ED	193	3	0	0	0	33	0	2	3	2	3	2	3	3	3	3	2	1	3	2	1
PCT7036	TO	974	28	0	0	133	175	0	14	13	13	14	9	11	14	12	14	13	13	16	10	9
PCT7037	MV	434	2	0	0	17	5	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0
PCT7037	ED	312	3	0	0	28	5	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1
PCT7037	TO	746	5	0	0	45	10	0	0	1	0	0	3	0	0	0	2	2	0	0	1	1
PCT7038	MV	758	14	0	0	111	43	0	4	2	2	3	3	3	2	2	3	4	3	4	5	3
PCT7038	ED	203	2	0	0	20	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
PCT7038	TO	961	16	0	0	131	45	0	4	3	2	3	3	3	2	2	3	4	4	4	5	3
PCT7039	MV	636	15	0	0	95	70	0	6	6	3	4	9	3	5	3	5	8	3	4	7	4
PCT7039	ED	201	16	0	0	135	41	0	2	3	2	6	2	2	2	3	2	4	2	4	5	2
PCT7039	TO	837	31	0	0	230	111	0	8	9	5	10	11	5	7	6	7	12	5	8	12	6
PCT7041	MV	66	4	0	0	14	30	0	4	2	2	3	1	3	2	0	0	3	3	2	3	2
PCT7041	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7041	TO	66	4	0	0	14	30	0	4	2	2	3	1	3	2	0	0	3	3	2	3	2
PCT7042	MV	514	16	0	0	145	31	0	1	3	2	3	4	0	1	1	3	6	1	3	2	1
PCT7042	ED	146	10	0	0	75	35	0	2	4	3	3	4	1	3	2	1	4	3	2	1	2
PCT7042	TO	660	26	0	0	220	66	0	3	7	5	6	8	1	4	3	4	10	4	5	3	3
PCT7043	MV	754	14	0	0	82	72	0	9	6	4	7	4	6	5	5	6	2	4	5	4	5
PCT7043	ED	224	3	0	0	31	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
PCT7043	TO	978	17	0	0	113	74	0	10	6	4	7	4	6	5	5	6	3	4	5	4	5
PCT7044	MV	586	11	0	0	77	44	0	2	3	2	5	3	4	3	4	3	6	2	2	2	3
PCT7044	ED	266	1	0	0	8	3	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
PCT7044	TO	852	12	0	0	85	47	0	2	3	2	6	3	4	4	4	4	6	2	2	2	3
PCT7045	MV	632	16	0	0	100	76	0	4	6	4	6	9	4	4	7	4	7	5	6	6	4
PCT7045	ED	154	4	0	0	37	7	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0
PCT7045	TO	786	20	0	0	137	83	0	5	7	5	6	10	4	5	7	4	7	6	6	7	4
PCT7046	MV	334	10	0	0	59	51	0	6	5	3	3	3	3	4	2	4	3	4	2	4	5
PCT7046	ED	96	1	0	0	0	11	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1
PCT7046	TO	430	11	0	0	59	62	0	7	6	4	3	4	3	5	3	5	4	5	2	5	6
PCT7047	MV	733	16	0	0	107	69	0	7	2	6	5	5	5	4	5	6	6	6	3	5	4
PCT7047	ED	150	5	0	0	39	16	0	1	3	1	0	2	0	1	2	0	1	1	1	2	1
PCT7047	TO	883	21	0	0	146	85	0	8	5	7	5	7	5	5	7	6	7	7	4	7	5
PCT7048	MV	685	21	0	0	123	108	0	6	13	7	8	6	7	9	6	9	10	4	10	6	7
PCT7048	ED	196	3	0	0	22	11	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
PCT7048	TO	881	24	0	0	145	119	0	7	14	8	9	7	8	10	7	10	11	4	10	6	8
PCT7049	MV	616	25	0	1	138	126	0	10	10	10	8	8	8	9	9	9	7	10	11	9	8
PCT7049	ED	210	8	0	0	60	28	0	3	1	2	1	3	3	3	3	1	3	2	2	0	1
PCT7049	TO	826	33	0	1	198	154	0	13	11	12	9	11	11	12	12	10	10	12	13	9	9
PCT7051	MV	715	30	0	0	192	138	0	12	8	11	6	9	12	12	9	7	14	9	8	13	8
PCT7051	ED	165	2	0	0	4	18	0	1	1	1	0	1	1	2	2	1	1	2	1	2	2
PCT7051	TO	880	32	0	0	196	156	0	13	9	12	6	10	13	14	11	8	15	11	9	15	10
PCT7052	MV	722	19	0	0	84	125	0	12	4	11	2	12	9	8	11	9	11	9	9	9	9
PCT7052	ED	184	6	0	0	32	34	0	1	3	1	4	3	2	1	4	3	4	1	3	3	1
PCT7052	TO	906	25	0	0	116	159	0	13	7	12	6	15	11	9	15	12	15	10	12	12	10
PCT7053	MV	542	19	0	0	117	92	0	10	8	8	5	8	5	7	2	5	7	8	5	6	8
PCT7053	ED	43	5	0	0	52	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
PCT7053	TO	585	24	0	0	169	95	0	11	8	8	6	8	6	7	2	5	7	8	5	6	8
PCT7054	MV	863	10	0	0	69	41	0	3	2	5	1	2	2	4	2	1	5	4	4	2	4
PCT7054	ED	273	7	0	0	28	49	0	5	5	2	5	3	4	2	3	1	6	2	4	4	3
PCT7054	TO	1136	17	0	0	97	90	0	8	7	7	6	5	6	6	5	2	11	6	8	6	7
PCT7055	MV	732	16	0	0	139	37	0	7	2	1	2	4	2	2	3	4	1	2	2	3	2
PCT7055	ED	94	1	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PCT7055	TO	826	17	0	0	149	38	0	7	2	1	2	4	2	2	3	4	1	2	2	4	2
PCT7056	MV	619	7	0	0	41	36	0	3	3	3	3	2	2	3	1	1	5	3	3	2	2
PCT7056	ED	86	2	0	0	10	12	0	1	1	1	1	0	1	1	0	0	2	1	1	1	1
PCT7056	TO	705	9	0	0	51	48	0	4	4	4	4	2	3	4	1	1	7	4	4	3	3
PCT7101	MV	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7101	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7101	TO	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
