area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	80:JOHN P. MCDONNELL	81:PHIL TING
PCT9422	MV	831	413	0	0	31	382	0	96	286
PCT9422	ED	270	222	0	0	44	178	0	23	155
PCT9422	TO	1101	635	0	0	75	560	0	119	441
PCT9423	MV	714	318	0	0	35	283	0	45	238
PCT9423	ED	190	187	0	0	29	158	0	29	129
PCT9423	TO	904	505	0	0	64	441	0	74	367
PCT9424	MV	799	386	0	0	34	352	0	71	281
PCT9424	ED	210	171	0	0	29	142	0	27	115
PCT9424	TO	1009	557	0	0	63	494	0	98	396
PCT9425	MV	789	348	0	0	31	317	0	76	241
PCT9425	ED	187	183	0	0	39	144	0	11	133
PCT9425	TO	976	531	0	0	70	461	0	87	374
PCT9426	MV	697	326	0	0	38	288	0	75	213
PCT9426	ED	156	159	0	0	34	125	0	17	108
PCT9426	TO	853	485	0	0	72	413	0	92	321
PCT9427	MV	799	386	0	0	39	347	0	97	250
PCT9427	ED	188	171	0	0	38	133	0	26	107
PCT9427	TO	987	557	0	0	77	480	0	123	357
PCT9428	MV	811	353	0	1	34	318	0	75	243
PCT9428	ED	179	163	0	0	30	133	0	25	108
PCT9428	TO	990	516	0	1	64	451	0	100	351
PCT9429	MV	709	344	0	0	38	306	0	71	235
PCT9429	ED	197	175	0	0	28	147	0	31	116
PCT9429	TO	906	519	0	0	66	453	0	102	351
PCT9431	MV	832	413	0	0	39	374	0	93	281
PCT9431	ED	204	189	0	0	31	158	0	28	130
PCT9431	TO	1036	602	0	0	70	532	0	121	411
PCT9432	MV	743	361	0	0	42	319	0	52	267
PCT9432	ED	215	156	0	0	22	134	0	20	114
PCT9432	TO	958	517	0	0	64	453	0	72	381
PCT9433	MV	794	374	0	0	51	323	0	71	252
PCT9433	ED	164	137	0	0	20	117	0	34	83
PCT9433	TO	958	511	0	0	71	440	0	105	335
PCT9434	MV	785	387	0	1	43	343	0	54	289
PCT9434	ED	227	240	0	0	40	200	0	26	174
PCT9434	TO	1012	627	0	1	83	543	0	80	463
PCT9435	MV	779	366	0	0	41	325	0	58	267
PCT9435	ED	225	218	0	0	34	184	0	40	144
PCT9435	TO	1004	584	0	0	75	509	0	98	411
PCT9436	MV	842	387	0	0	33	354	0	76	278
PCT9436	ED	226	176	0	0	26	150	0	25	125
PCT9436	TO	1068	563	0	0	59	504	0	101	403
PCT9437	MV	736	376	0	0	43	333	0	75	258
PCT9437	ED	191	173	0	0	17	156	0	25	131
