VBM_1126_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  25    24 image    3300  5100  rgb     3   8  jpeg   no       124  0   195   464  796K 1.6%
  26    25 image    3300  5100  rgb     3   8  jpeg   no       129  0   195   464  988K 2.0%
  27    26 image    3300  5100  rgb     3   8  jpeg   no       134  0   195   464  764K 1.5%
  28    27 image    3300  5100  rgb     3   8  jpeg   no       139  0   195   464  986K 2.0%
  29    28 image    3304  5100  gray    1   1  ccitt  no       144  0   195   464  274K  13%
  30    29 image    3300  5100  rgb     3   8  jpeg   no       149  0   195   464  987K 2.0%
  31    30 image    3304  5100  gray    1   1  ccitt  no       154  0   195   464  274K  13%
  32    31 image    3300  5100  rgb     3   8  jpeg   no       159  0   195   464  989K 2.0%
  33    32 image    3304  5100  gray    1   1  ccitt  no       164  0   195   464  278K  13%
  34    33 image    3300  5100  rgb     3   8  jpeg   no       169  0   195   464  987K 2.0%
  35    34 image    3304  5100  gray    1   1  ccitt  no       174  0   195   464  285K  14%
