sDistrictID	iSubDistrict	szDistrictName	sPrecinctID	sPrecinctPortion	szPrecinctName
*0	0	County Wide	9225   		Pct 9225
*0	0	County Wide	9226   		Pct 9226
*0	0	County Wide	9227   		Pct 9227
*0	0	County Wide	9228   		Pct 9228
*0	0	County Wide	9229   		Pct 9229
*0	0	County Wide	9231   		Pct 9231
*0	0	County Wide	9232   		Pct 9232
*0	0	County Wide	9233   		Pct 9233
*0	0	County Wide	9234   		Pct 9234
*0	0	County Wide	9235   		Pct 9235
*0	0	County Wide	9236   		Pct 9236
*0	0	County Wide	9237   		Pct 9237
*0	0	County Wide	9238   		Pct 9238
*0	0	County Wide	9239   		Pct 9239
*0	0	County Wide	9241   		Pct 9241
*0	0	County Wide	9242   		Pct 9242
*0	0	County Wide	9243   		Pct 9243
*0	0	County Wide	9244   		Pct 9244
*0	0	County Wide	9245   		Pct 9245
*0	0	County Wide	9246   		Pct 9246
*0	0	County Wide	9247   		Pct 9247
*0	0	County Wide	9248   		Pct 9248
*0	0	County Wide	9249   		Pct 9249
*0	0	County Wide	9251   		Pct 9251
*0	0	County Wide	9252   		Pct 9252
*0	0	County Wide	9253   		Pct 9253
*0	0	County Wide	9254   		Pct 9254
*0	0	County Wide	9255   		Pct 9255
*0	0	County Wide	9256   		Pct 9256
*0	0	County Wide	9257   		Pct 9257
*0	0	County Wide	9258   		Pct 9258
*0	0	County Wide	9401   		Pct 9401
*0	0	County Wide	9402   		Pct 9402
*0	0	County Wide	9403   		Pct 9403
*0	0	County Wide	9404   		Pct 9404
*0	0	County Wide	9405   		Pct 9405
*0	0	County Wide	9406   		Pct 9406
*0	0	County Wide	9407   		Pct 9407
*0	0	County Wide	9408   		Pct 9408
*0	0	County Wide	9409   		Pct 9409
*0	0	County Wide	9411   		Pct 9411
*0	0	County Wide	9412   		Pct 9412
*0	0	County Wide	9413   		Pct 9413
*0	0	County Wide	9414   		Pct 9414
*0	0	County Wide	9415   		Pct 9415
*0	0	County Wide	9416   		Pct 9416
*0	0	County Wide	9417   		Pct 9417
*0	0	County Wide	9418   		Pct 9418
*0	0	County Wide	9419   		Pct 9419
*0	0	County Wide	9421   		Pct 9421
*0	0	County Wide	9422   		Pct 9422
*0	0	County Wide	9423   		Pct 9423
*0	0	County Wide	9424   		Pct 9424
*0	0	County Wide	9425   		Pct 9425
*0	0	County Wide	9426   		Pct 9426
*0	0	County Wide	9427   		Pct 9427
*0	0	County Wide	9428   		Pct 9428
*0	0	County Wide	9429   		Pct 9429
*0	0	County Wide	9431   		Pct 9431
*0	0	County Wide	9432   		Pct 9432
*0	0	County Wide	9433   		Pct 9433
*0	0	County Wide	9434   		Pct 9434
*0	0	County Wide	9435   		Pct 9435
*0	0	County Wide	9436   		Pct 9436
*0	0	County Wide	9437   		Pct 9437
*0	0	County Wide	9438   		Pct 9438
*0	0	County Wide	9439   		Pct 9439
*0	0	County Wide	9441   		Pct 9441
*0	0	County Wide	9442   		Pct 9442
*0	0	County Wide	9443   		Pct 9443
*0	0	County Wide	9444   		Pct 9444
*0	0	County Wide	9445   		Pct 9445
*0	0	County Wide	9446   		Pct 9446
*0	0	County Wide	9447   		Pct 9447
*0	0	County Wide	9448   		Pct 9448
*0	0	County Wide	9449   		Pct 9449
*0	0	County Wide	9451   		Pct 9451
*0	0	County Wide	9452   		Pct 9452
*0	0	County Wide	9453   		Pct 9453
*0	0	County Wide	9501   		Pct 9501
*0	0	County Wide	9502   		Pct 9502
*0	0	County Wide	9503   		Pct 9503
*0	0	County Wide	9504   		Pct 9504
*0	0	County Wide	9505   		Pct 9505
*0	0	County Wide	9506   		Pct 9506
*0	0	County Wide	9507   		Pct 9507
*0	0	County Wide	9508   		Pct 9508
*0	0	County Wide	9509   		Pct 9509
*0	0	County Wide	9511   		Pct 9511
*0	0	County Wide	9512   		Pct 9512
*0	0	County Wide	9513   		Pct 9513
*0	0	County Wide	9514   		Pct 9514
*0	0	County Wide	9515   		Pct 9515
*0	0	County Wide	9516   		Pct 9516
*0	0	County Wide	9517   		Pct 9517
*0	0	County Wide	9518   		Pct 9518
*0	0	County Wide	9519   		Pct 9519
*0	0	County Wide	9521   		Pct 9521
*0	0	County Wide	9522   		Pct 9522
*0	0	County Wide	9701   		Pct 9701
*0	0	County Wide	9702   		Pct 9702
