precinct_id|cons_precinct_id|cons_precinct_name|ballot_type|vbm|poll_id
9135|9135|Pct 9135|005|N|3413
9136|9136|Pct 9136|005|N|121
9137|9137|Pct 9137|005|N|3029
9138|9138|Pct 9138|005|N|134
9139|9139|Pct 9139|005|N|3456
9141|9141|Pct 9141|005|N|3037
9142|9142|Pct 9142|005|N|148
9143|9143|Pct 9143|005|N|2780
9144|9144|Pct 9144|005|N|3296
9145|9145|Pct 9145|005|N|3537
9146|9146|Pct 9146|005|N|178
9147|9147|Pct 9147|005|N|185
9148|9148|Pct 9148|005|N|3470
9149|9149|Pct 9149|005|N|3084
9151|9151|Pct 9151|005|N|3488
9152|9152|Pct 9152|005|N|2916
9201|9201|Pct 9201|006|N|1749
9202|9202|Pct 9202|006|N|2817
9203|9203|Pct 9203|006|N|2500
9204|9204|Pct 9204|006|N|2491
9205|9205|Pct 9205|006|N|3209
9206|9206|Pct 9206|006|N|569
9207|9207|Pct 9207|006|N|3336
9208|9208|Pct 9208|006|N|595
9209|9209|Pct 9209|006|N|2383
9211|9211|Pct 9211|006|N|3240
9212|9212|Pct 9212|006|N|2694
9213|9213|Pct 9213|006|N|3162
9214|9214|Pct 9214|006|N|3411
9215|9215|Pct 9215|006|N|3258
9216|9216|Pct 9216|006|N|3292
9217|9217|Pct 9217|006|N|3367
9218|9218|Pct 9218|006|N|3384
9219|9219|Pct 9219|006|N|627
9221|9221|Pct 9221|006|N|3244
9222|9222|Pct 9222|006|N|603
9223|9223|Pct 9223|006|N|2468
9224|9224|Pct 9224|006|N|619
9225|9225|Pct 9225|006|N|630
9226|9226|Pct 9226|006|N|3385
9227|9227|Pct 9227|006|N|3163
9228|9228|Pct 9228|006|N|3249
9229|9229|Pct 9229|006|N|2929
9231|9231|Pct 9231|006|N|2719
9232|9232|Pct 9232|006|N|106
9233|9233|Pct 9233|006|N|2781
9234|9234|Pct 9234|006|N|1089
9235|9235|Pct 9235|006|N|2559
9236|9236|Pct 9236|006|N|581
9237|9237|Pct 9237|006|N|3291
9238|9238|Pct 9238|006|N|2563
9239|9239|Pct 9239|006|N|2583
9241|9241|Pct 9241|006|N|1810
9242|9242|Pct 9242|006|N|2692
9243|9243|Pct 9243|006|N|2631
9244|9244|Pct 9244|006|N|586
9245|9245|Pct 9245|006|N|3303
9246|9246|Pct 9246|006|N|3302
9247|9247|Pct 9247|006|N|638
9248|9248|Pct 9248|006|N|2380
9249|9249|Pct 9249|006|N|190
9251|9251|Pct 9251|006|N|192
9252|9252|Pct 9252|006|N|2397
9253|9253|Pct 9253|006|N|116
9254|9254|Pct 9254|006|N|767
9255|9255|Pct 9255|006|N|2254
9256|9256|Pct 9256|006|N|2974
9257|9257|Pct 9257 MB|006|Y|Mail
9258|9258|Pct 9258|006|N|207
9401|9401|Pct 9401|006|N|2524
9402|9402|Pct 9402|006|N|1494
9403|9403|Pct 9403|006|N|3529
9404|9404|Pct 9404|006|N|2194
9405|9405|Pct 9405|006|N|3167
9406|9406|Pct 9406|006|N|2873
9407|9407|Pct 9407|006|N|1651
9408|9408|Pct 9408|006|N|2717
9409|9409|Pct 9409|006|N|315
9411|9411|Pct 9411|006|N|3320
9412|9412|Pct 9412|006|N|3357
9413|9413|Pct 9413|006|N|2636
9414|9414|Pct 9414|006|N|3143
9415|9415|Pct 9415|006|N|3514
9416|9416|Pct 9416|006|N|2195
9417|9417|Pct 9417|006|N|222
9418|9418|Pct 9418|006|N|2878
9419|9419|Pct 9419|006|N|239
9421|9421|Pct 9421|006|N|3055
9422|9422|Pct 9422|006|N|2255
9423|9423|Pct 9423|006|N|2097
9424|9424|Pct 9424|006|N|1919
9425|9425|Pct 9425|006|N|3452
9426|9426|Pct 9426|006|N|3542
9427|9427|Pct 9427|006|N|263
9428|9428|Pct 9428|006|N|3475
9429|9429|Pct 9429|006|N|247
