area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	084:RICARDO LARA	085:STEVE POIZNER
PCT7642	MV	937	394	0	0	0	49	345	230	115
PCT7643	ED	920	168	0	0	0	17	151	108	43
PCT7643	MV	920	507	0	0	1	39	467	326	141
PCT7644	ED	1175	329	0	0	0	34	295	210	85
PCT7644	MV	1175	554	0	0	0	43	511	368	143
PCT7645	ED	640	120	0	0	0	11	109	75	34
PCT7645	MV	640	377	0	0	0	37	340	186	154
PCT7646	ED	1100	262	0	0	0	23	239	179	60
PCT7646	MV	1100	591	0	0	0	47	544	364	180
PCT7647	ED	1075	205	0	0	0	20	185	140	45
PCT7647	MV	1075	283	0	0	0	25	258	188	70
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	0	14	161	119	42
PCT7649	MV	891	395	0	0	0	35	360	249	111
PCT7651	ED	677	165	1	0	0	23	141	101	40
PCT7651	MV	677	351	0	0	0	39	312	194	118
PCT7652	ED	628	135	0	0	0	13	122	86	36
PCT7652	MV	628	301	0	0	1	29	271	175	96
PCT7653	ED	1280	299	0	0	0	39	260	174	86
PCT7653	MV	1280	673	0	0	0	77	596	375	221
PCT7701	ED	1064	295	0	0	0	28	267	192	75
PCT7701	MV	1064	597	0	0	0	52	545	363	182
PCT7702	ED	748	179	0	0	0	19	160	100	60
PCT7702	MV	748	415	0	0	0	46	369	225	144
PCT7703	MV	171	79	0	0	1	14	64	47	17
PCT7704	ED	1008	257	0	0	0	26	231	145	86
PCT7704	MV	1008	557	0	0	0	36	521	331	190
PCT7705	ED	568	149	0	0	0	17	132	71	61
PCT7705	MV	568	335	0	0	0	23	312	179	133
PCT7706	ED	840	252	0	0	0	21	231	151	80
PCT7706	MV	840	467	0	0	0	41	426	272	154
