area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7838	MV	926	546	0	0	25	521	39	482
PCT7839	ED	842	205	0	0	15	190	12	178
PCT7839	MV	842	515	0	0	10	505	42	463
PCT7841	ED	937	291	0	1	16	274	10	264
PCT7841	MV	937	526	0	0	14	512	34	478
PCT7842	ED	903	283	0	0	17	266	12	254
PCT7842	MV	903	434	0	0	17	417	35	382
PCT7843	ED	767	232	0	0	12	220	13	207
PCT7843	MV	767	380	0	0	13	367	23	344
PCT7844	ED	663	196	0	0	12	184	13	171
PCT7844	MV	663	329	0	0	19	310	27	283
PCT7845	ED	849	241	0	0	7	234	27	207
PCT7845	MV	849	469	0	0	5	464	27	437
PCT7846	ED	904	262	0	0	9	253	28	225
PCT7846	MV	904	509	0	0	19	490	48	442
PCT7847	ED	929	261	0	0	14	247	29	218
PCT7847	MV	929	529	0	0	16	513	31	482
PCT7848	ED	834	233	0	0	12	221	23	198
PCT7848	MV	834	491	0	0	10	481	35	446
PCT7849	ED	929	264	0	0	11	253	10	243
PCT7849	MV	929	522	0	1	13	508	34	474
PCT7851	ED	513	136	0	0	9	127	16	111
PCT7851	MV	513	298	0	0	17	281	34	247
PCT7852	ED	647	143	0	0	3	140	22	118
