area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	124:EVA I. CHAO	125:BRIAN J. LARKIN	126:JONATHAN LYENS	127:JANICE LI	128:MELANIE NUTTER	129:WILLIAM WALKER
PCT9214	MV	640	334	0	3	91	240	0	60	32	26	43	72	7
PCT9215	ED	652	194	0	1	50	143	0	44	26	8	26	36	3
PCT9215	MV	652	327	0	2	104	221	1	61	26	26	39	63	5
PCT9216	ED	845	246	0	2	80	164	0	46	19	12	39	43	5
PCT9216	MV	845	379	0	3	107	269	0	68	35	30	66	64	6
PCT9217	ED	698	194	0	3	73	118	0	32	24	10	22	25	5
PCT9217	MV	698	349	0	4	115	230	1	51	39	26	47	60	6
PCT9218	ED	841	249	0	2	79	168	0	44	28	17	34	36	9
PCT9218	MV	841	412	0	3	124	285	0	68	38	37	69	63	10
PCT9219	ED	802	242	0	1	63	178	0	36	27	29	42	37	7
PCT9219	MV	802	399	0	5	104	290	0	65	42	25	81	73	4
PCT9221	ED	651	145	0	3	46	96	1	22	11	7	13	39	3
PCT9221	MV	651	399	0	7	141	251	0	68	30	27	44	79	3
PCT9222	ED	883	249	0	2	101	146	0	33	15	6	34	52	6
PCT9222	MV	883	449	0	7	149	293	0	71	38	34	48	96	6
PCT9223	ED	638	160	0	1	49	110	0	22	24	8	24	28	4
PCT9223	MV	638	338	0	2	111	225	0	57	27	19	51	68	3
PCT9224	ED	960	263	0	3	87	173	0	47	29	15	33	41	8
PCT9224	MV	960	506	0	2	147	357	0	86	44	51	95	76	5
PCT9225	ED	958	299	0	2	105	192	1	55	23	15	42	46	10
PCT9225	MV	958	469	0	5	140	324	1	58	38	35	102	82	8
PCT9226	ED	926	271	0	4	82	185	0	52	27	17	42	44	3
PCT9226	MV	926	486	0	4	137	345	3	52	44	41	97	98	10
PCT9227	ED	738	188	0	0	54	134	0	27	13	16	37	39	2
PCT9227	MV	738	404	0	3	104	297	0	61	34	44	73	82	3
PCT9228	ED	747	189	0	0	55	134	0	33	22	15	27	33	4
