area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	130:CARMEN CHU	131:PAUL BELLAR
PCT7619	MV	1063	563	1	0	81	0	481	2	338	141
PCT7621	ED	1320	287	5	0	52	0	230	1	162	67
PCT7621	MV	1320	668	1	2	94	0	571	7	423	141
PCT7622	ED	988	170	0	0	27	0	143	1	93	49
PCT7622	MV	988	301	1	3	44	0	253	1	173	79
PCT7623	ED	746	182	10	0	29	0	143	2	98	43
PCT7623	MV	746	297	3	0	29	0	265	3	187	75
PCT7624	ED	859	142	3	0	19	0	120	0	82	38
PCT7624	MV	859	290	-1	3	38	0	250	0	178	72
PCT7625	ED	822	66	0	0	14	0	52	2	34	16
PCT7625	MV	822	475	1	0	41	0	433	1	357	75
PCT7626	ED	1114	224	3	0	43	0	178	2	130	46
PCT7626	MV	1114	612	2	2	103	0	505	1	420	84
PCT7627	ED	1187	266	1	0	63	0	202	1	142	59
PCT7627	MV	1187	582	17	0	112	0	453	1	336	116
PCT7628	ED	960	239	1	0	35	0	203	0	116	87
PCT7628	MV	960	428	-3	0	38	0	393	2	263	128
PCT7629	ED	809	208	4	0	31	0	173	0	107	66
PCT7629	MV	809	343	1	1	42	0	299	2	215	82
PCT7631	ED	1155	266	1	0	49	0	216	1	133	82
PCT7631	MV	1155	576	5	2	74	0	495	2	370	123
PCT7632	ED	1124	288	3	0	59	0	226	2	143	81
PCT7632	MV	1124	561	7	0	68	0	486	0	333	153
PCT7633	ED	741	137	-2	1	20	0	118	1	77	40
PCT7633	MV	741	392	3	3	52	0	334	2	266	66
PCT7634	ED	900	194	2	0	35	0	157	0	107	50
PCT7634	MV	900	421	2	0	55	0	364	1	284	79
PCT7635	ED	840	157	0	0	35	0	122	1	78	43
PCT7635	MV	840	382	7	1	57	0	317	2	234	81
PCT7636	ED	938	246	1	0	59	0	186	1	134	51
PCT7636	MV	938	465	6	0	73	0	386	4	293	89
PCT7637	ED	809	193	0	0	48	0	145	0	103	42
