area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	082:STEVEN C BAILEY	083:XAVIER BECERRA
PCT7636	MV	938	465	0	0	0	17	448	48	400
PCT7637	ED	809	193	0	0	0	4	189	40	149
PCT7637	MV	809	404	0	0	0	16	388	44	344
PCT7638	ED	1467	294	0	0	0	19	275	50	225
PCT7638	MV	1467	871	1	0	0	37	833	141	692
PCT7639	ED	1011	241	0	0	0	13	228	38	190
PCT7639	MV	1011	559	0	0	0	27	532	66	466
PCT7641	ED	972	204	0	0	0	16	188	35	153
PCT7641	MV	972	549	0	0	0	30	519	101	418
PCT7642	ED	937	152	0	0	0	4	148	17	131
PCT7642	MV	937	394	0	0	0	40	354	49	305
PCT7643	ED	920	168	0	0	0	12	156	18	138
PCT7643	MV	920	507	0	0	0	23	484	70	414
PCT7644	ED	1175	329	0	0	0	17	312	29	283
PCT7644	MV	1175	554	0	0	0	19	535	52	483
PCT7645	ED	640	120	0	0	0	4	116	18	98
PCT7645	MV	640	377	0	0	0	17	360	63	297
PCT7646	ED	1100	262	0	0	0	14	248	20	228
PCT7646	MV	1100	591	0	0	0	32	559	56	503
PCT7647	ED	1075	205	0	0	0	16	189	28	161
PCT7647	MV	1075	283	0	0	0	12	271	23	248
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	0	10	165	11	154
PCT7649	MV	891	395	0	0	0	23	372	65	307
PCT7651	ED	677	165	1	0	0	8	156	23	133
PCT7651	MV	677	351	0	0	0	16	335	35	300
PCT7652	ED	628	135	0	0	0	4	131	15	116
PCT7652	MV	628	301	0	0	1	18	282	26	256
PCT7653	ED	1280	299	0	0	0	23	276	24	252
PCT7653	MV	1280	673	0	0	0	38	635	65	570
PCT7701	ED	1064	295	0	0	0	12	283	30	253
PCT7701	MV	1064	597	0	0	0	30	567	66	501
PCT7702	ED	748	179	0	0	0	12	167	21	146
PCT7702	MV	748	415	0	0	0	22	393	70	323
PCT7703	MV	171	79	0	0	1	9	69	6	63
PCT7704	ED	1008	257	0	0	0	14	243	50	193
PCT7704	MV	1008	557	0	0	0	24	533	103	430
PCT7705	ED	568	149	0	0	0	13	136	22	114
PCT7705	MV	568	335	0	0	0	9	326	55	271
PCT7706	ED	840	252	0	0	0	12	240	34	206
