area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	118:MARSHALL TUCK	119:TONY K. THURMOND
PCT7534	MV	936	415	0	1	72	342	1	89	252
PCT7535	ED	767	262	0	1	43	218	2	53	163
PCT7535	MV	767	387	0	3	88	296	0	76	220
PCT7536	ED	863	291	0	1	54	236	2	71	163
PCT7536	MV	863	421	0	2	79	340	1	92	247
PCT7537	ED	752	240	0	1	49	190	1	50	139
PCT7537	MV	752	363	0	0	73	290	2	54	234
PCT7538	ED	771	246	0	0	49	197	2	46	149
PCT7538	MV	771	400	0	2	73	325	1	82	242
PCT7539	ED	922	330	0	0	75	255	1	56	198
PCT7539	MV	922	428	0	2	85	341	3	90	248
PCT7541	ED	805	248	0	2	57	189	0	62	127
PCT7541	MV	805	400	0	1	80	319	3	78	238
PCT7542	ED	821	272	0	1	49	222	0	52	170
PCT7542	MV	821	389	0	2	76	311	3	71	237
PCT7543	ED	909	216	0	0	53	163	1	43	119
PCT7543	MV	909	467	0	3	87	377	4	103	270
PCT7544	ED	898	258	0	1	60	197	1	57	139
PCT7544	MV	898	479	0	0	106	373	1	105	267
PCT7545	ED	918	273	0	0	58	215	0	56	159
PCT7545	MV	918	480	0	2	104	374	3	126	245
PCT7546	ED	982	304	0	0	67	237	1	72	164
PCT7546	MV	982	517	0	2	94	421	3	128	290
PCT7547	ED	1029	315	0	1	70	244	0	66	178
PCT7547	MV	1029	505	0	2	105	398	2	86	310
PCT7548	ED	1073	319	1	0	73	245	1	72	172
PCT7548	MV	1073	512	0	2	93	417	2	127	288
PCT7549	ED	811	215	0	0	49	166	0	45	121
PCT7549	MV	811	431	0	6	90	335	3	92	240
PCT7551	ED	741	239	0	0	51	188	0	58	130
PCT7551	MV	741	394	0	2	72	320	4	83	233
PCT7552	ED	727	241	0	1	47	193	1	59	133
PCT7552	MV	727	361	0	2	71	288	1	83	204
PCT7553	MV	180	126	0	1	26	99	0	42	57
PCT7554	ED	808	247	0	0	51	196	2	69	125
PCT7554	MV	808	442	0	1	88	353	1	122	230
PCT7555	ED	886	290	0	1	53	236	1	67	168
PCT7555	MV	886	459	0	0	103	356	1	117	238
PCT7556	ED	969	275	0	0	56	219	2	84	133
PCT7556	MV	969	573	0	0	93	480	2	181	297
PCT7601	ED	767	191	0	1	37	153	3	57	93
PCT7601	MV	767	290	0	2	54	234	2	86	146
PCT7602	ED	901	213	0	3	43	167	5	47	115
PCT7602	MV	901	379	0	3	68	308	4	89	215
PCT7603	ED	830	250	0	0	47	203	1	57	145
PCT7603	MV	830	376	0	0	87	289	0	80	209
PCT7604	ED	954	266	0	2	51	213	1	69	143
PCT7604	MV	954	352	0	1	53	298	1	85	212
PCT7605	ED	648	120	0	0	25	95	3	39	53
PCT7605	MV	648	203	0	3	45	155	0	45	110
PCT7606	ED	924	205	0	2	50	153	0	60	93
PCT7606	MV	924	330	0	2	67	261	7	97	157
PCT7607	ED	960	215	0	2	54	159	1	60	98
PCT7607	MV	960	407	0	2	69	336	3	116	217
PCT7608	ED	392	70	0	0	16	54	0	22	32
PCT7608	MV	392	136	0	6	36	94	2	43	49
PCT7609	ED	926	120	0	3	22	95	1	31	63
PCT7609	MV	926	352	0	4	86	262	1	115	146
PCT7611	ED	755	126	0	2	27	97	1	42	54
PCT7611	MV	755	269	0	0	64	205	3	84	118
PCT7612	ED	583	97	0	3	22	72	1	28	43
PCT7612	MV	583	265	0	2	57	206	2	72	132
PCT7613	ED	908	204	0	2	48	154	0	54	100
PCT7613	MV	908	340	0	6	56	278	5	99	174
PCT7614	ED	1029	223	0	1	72	150	0	53	97
PCT7614	MV	1029	375	0	1	69	305	3	102	200
PCT7615	ED	762	162	0	1	47	114	1	43	70
PCT7615	MV	762	237	0	1	60	176	0	70	106
PCT7616	ED	1203	324	0	1	98	225	0	99	126
PCT7616	MV	1203	686	0	6	158	522	0	172	350
PCT7617	ED	768	102	0	1	24	77	0	27	50
PCT7617	MV	768	261	0	1	64	196	3	77	116
PCT7618	ED	862	168	0	1	35	132	1	33	98
PCT7618	MV	862	407	0	2	84	321	6	86	229
