area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
CONG14	58051	10799	47252	29452	7075	22377
ASSM17	292422	59635	232787	162358	47625	114733
ASSM19	211477	41418	170059	119617	37106	82511
SUPV1	43116	9248	33868	25224	8655	16569
SUPV2	50046	8611	41435	30370	10377	19993
SUPV3	39377	7434	31943	20984	6535	14449
SUPV4	44094	9045	35049	24453	7584	16869
SUPV5	52900	10934	41966	33097	11557	21540
SUPV6	43695	7940	35755	21149	5898	15251
SUPV7	47443	8556	38887	28091	7391	20700
SUPV8	58177	11807	46370	38765	11229	27536
SUPV9	43263	10098	33165	23952	7154	16798
SUPV10	43113	9348	33765	18359	4289	14070
SUPV11	38675	8032	30643	17531	4062	13469
NEIG1	20485	5021	15464	7534	1587	5947
NEIG2	17267	3238	14029	9112	2817	6295
NEIG3	28019	5969	22050	13729	4224	9505
NEIG4	7060	1430	5630	4741	1250	3491
NEIG5	28593	5893	22700	13151	3008	10143
NEIG6	13862	2336	11526	9496	3515	5981
NEIG7	12395	2577	9818	5472	1325	4147
NEIG8	9658	2030	7628	6274	2241	4033
NEIG9	8258	842	7416	4087	943	3144
NEIG10	10022	1850	8172	5994	2043	3951
NEIG11	39440	5931	33509	23506	7975	15531
NEIG12	31005	7433	23572	17281	5396	11885
NEIG14	8733	1942	6791	5784	1797	3987
NEIG15	7088	1309	5779	3875	1196	2679
NEIG13	16988	3435	13553	11580	3398	8182
NEIG26	9632	1802	7830	4482	960	3522
NEIG16	17356	2733	14623	9579	2602	6977
NEIG17	37625	8178	29447	21980	7585	14395
NEIG19	9571	2406	7165	5912	1880	4032
NEIG18	8021	1563	6458	5266	1848	3418
NEIG20	25077	4167	20910	12330	3410	8920
NEIG21	43493	8887	34606	24083	7438	16645
NEIG22	18893	3512	15381	12948	3654	9294
NEIG23	8488	1850	6638	3114	606	2508
NEIG24	35374	6935	28439	21902	5833	16069
NEIG25	31496	7784	23712	18763	6200	12563
