area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	101:VIVEK VISWANATHAN	102:JACK M. GUERRERO	103:KEVIN AKIN	104:GREG CONLON	105:FIONA MA
PCT7548	MV	1054	345	0	1	36	308	2	53	8	37	7	201
PCT7549	ED	785	165	0	0	26	139	0	17	4	18	5	95
PCT7549	MV	785	281	0	0	35	246	1	49	16	25	7	148
PCT7551	ED	705	199	0	1	33	165	0	23	7	22	4	109
PCT7551	MV	705	240	0	0	32	208	0	28	6	31	1	142
PCT7552	ED	718	191	0	0	27	164	0	20	2	19	2	121
PCT7552	MV	718	232	0	0	32	200	0	29	7	18	3	143
PCT7553	MV	171	87	0	0	9	78	0	13	4	0	4	57
PCT7554	ED	785	179	0	0	23	156	2	22	4	18	4	106
PCT7554	MV	785	323	0	0	34	289	0	37	22	18	4	208
PCT7555	ED	847	242	0	0	35	207	1	23	9	13	4	157
PCT7555	MV	847	304	0	0	47	257	0	37	7	22	4	187
PCT7556	ED	961	223	0	0	42	181	0	22	6	14	12	127
PCT7556	MV	961	422	0	0	52	370	0	39	14	24	9	284
PCT7601	ED	744	128	0	0	21	107	1	10	8	20	6	62
PCT7601	MV	744	185	0	0	28	157	0	16	17	22	9	93
PCT7602	ED	880	147	0	0	23	124	0	14	10	26	6	68
PCT7602	MV	880	243	0	1	32	210	0	33	14	35	10	118
PCT7603	ED	826	152	0	1	21	130	0	16	8	28	1	77
PCT7603	MV	826	215	0	0	25	190	0	23	13	25	8	121
PCT7604	ED	906	133	0	0	19	114	1	13	11	21	7	61
PCT7604	MV	906	233	0	0	24	209	0	27	17	21	14	130
PCT7605	ED	651	77	0	1	12	64	0	7	2	10	1	44
PCT7605	MV	651	155	0	2	25	128	0	31	11	9	6	71
PCT7606	ED	895	127	0	0	22	105	0	12	11	18	8	56
