area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	114:MARK BURNS	115:CATHLEEN GALGIANI	116:BARRY CHANG	117:MALIA COHEN
PCT7606	ED	895	127	1	0	28	98	2	20	21	7	48
PCT7606	MV	895	212	1	1	41	169	3	18	44	12	92
PCT7607	ED	955	120	0	0	24	96	0	8	26	8	54
PCT7607	MV	955	265	-4	1	47	221	2	22	42	33	122
PCT7608	ED	388	46	1	0	11	34	0	7	8	8	11
PCT7608	MV	388	119	-2	0	17	104	0	13	28	32	31
PCT7609	ED	916	101	0	0	24	77	1	5	21	8	42
PCT7609	MV	916	297	2	2	50	243	3	32	64	65	79
PCT7611	ED	756	76	0	1	16	59	1	7	14	5	32
PCT7611	MV	756	204	2	0	41	161	1	14	38	35	73
PCT7612	ED	574	76	0	1	21	54	0	10	12	15	17
PCT7612	MV	574	210	-1	1	50	160	1	13	36	41	69
PCT7613	ED	887	140	0	0	23	117	0	6	25	19	67
PCT7613	MV	887	215	2	2	41	170	0	18	35	14	103
PCT7614	ED	1015	123	-2	0	31	94	2	10	28	11	43
PCT7614	MV	1015	238	0	4	42	192	2	26	39	24	101
PCT7615	ED	832	108	0	4	24	80	2	7	23	14	34
PCT7615	MV	832	170	0	0	23	147	2	18	41	28	58
PCT7616	ED	951	129	-1	0	34	96	2	3	30	9	52
PCT7616	MV	951	331	2	0	79	250	2	18	56	17	157
PCT7617	ED	751	84	-1	2	17	66	0	7	17	9	33
PCT7617	MV	751	223	2	3	45	173	0	21	36	31	85
PCT7618	ED	866	123	1	0	32	90	2	7	16	5	60
PCT7618	MV	866	272	-3	0	61	214	2	21	43	25	123
PCT7619	ED	993	154	-1	0	45	110	1	9	27	7	66
PCT7619	MV	993	308	-1	0	64	245	2	23	40	40	140
PCT7621	ED	1132	163	-1	0	39	125	2	13	32	10	68
PCT7621	MV	1132	346	3	0	59	284	4	36	49	28	167
PCT7622	ED	964	99	2	1	19	77	1	6	21	7	42
PCT7622	MV	964	193	1	2	44	146	3	20	41	13	69
PCT7623	ED	712	122	-15	1	29	107	1	5	35	19	47
PCT7623	MV	712	196	2	0	43	151	0	20	30	18	83
PCT7624	ED	905	104	1	0	18	85	0	9	23	3	50
PCT7624	MV	905	195	1	0	36	158	1	20	45	14	78
PCT7625	ED	821	73	0	0	24	49	0	2	9	11	27
