area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	098:KONSTANTINOS RODITIS	099:MARY LOU FINLEY	100:BETTY T. YEE
PCT7517	ED	863	228	0	0	0	54	174	1	5	9	159
PCT7517	MV	863	251	0	0	0	50	201	0	1	13	187
PCT7518	ED	939	235	0	0	0	56	179	0	9	12	158
PCT7518	MV	939	298	0	0	0	44	254	0	12	5	237
PCT7519	ED	726	179	0	0	0	35	144	0	3	9	132
PCT7519	MV	726	185	0	0	0	39	146	0	2	3	141
PCT7521	ED	802	211	0	0	0	56	155	0	6	10	139
PCT7521	MV	802	215	0	0	0	52	163	0	3	7	153
PCT7522	ED	743	175	0	0	0	44	131	0	5	6	120
PCT7522	MV	743	240	0	0	0	47	193	0	3	5	185
PCT7523	ED	737	208	0	0	0	42	166	0	4	13	149
PCT7523	MV	737	223	0	0	0	39	184	0	8	12	164
PCT7524	ED	646	143	0	0	0	37	106	0	4	13	89
PCT7524	MV	646	165	0	0	0	29	136	2	6	4	124
PCT7525	ED	779	145	0	0	0	33	112	1	2	9	100
PCT7525	MV	779	214	0	0	0	40	174	0	6	13	155
PCT7526	ED	947	197	0	0	0	35	162	1	7	6	148
PCT7526	MV	947	313	0	0	0	58	255	0	10	10	235
PCT7527	ED	729	162	0	0	1	52	109	1	13	8	87
PCT7527	MV	729	237	0	0	1	55	181	0	14	10	157
PCT7529	ED	925	214	0	0	0	57	157	2	4	10	141
PCT7529	MV	925	300	0	0	0	66	234	0	13	13	208
PCT7531	ED	847	179	0	0	0	38	141	0	3	15	123
PCT7531	MV	847	263	0	0	0	54	209	0	6	10	193
PCT7532	ED	823	172	0	0	0	43	129	0	5	6	118
PCT7532	MV	823	226	0	0	0	33	193	0	18	3	172
PCT7533	ED	951	268	0	0	0	45	223	1	11	17	194
PCT7533	MV	951	297	0	0	1	66	230	0	17	9	204
PCT7534	ED	883	241	0	0	0	52	189	0	4	6	179
PCT7534	MV	883	240	0	0	0	35	205	0	7	10	188
PCT7535	ED	743	201	0	0	0	45	156	1	6	3	146
PCT7535	MV	743	251	0	0	0	42	209	0	6	10	193
PCT7536	ED	856	206	0	0	0	50	156	1	8	8	139
PCT7536	MV	856	279	0	0	0	65	214	0	9	9	196
PCT7537	ED	734	187	0	0	0	46	141	0	4	8	129
PCT7537	MV	734	225	0	0	1	45	179	1	6	10	162
PCT7538	ED	757	223	0	0	0	60	163	0	3	6	154
PCT7538	MV	757	256	0	0	0	54	202	1	2	6	193
PCT7539	ED	884	250	0	0	0	74	176	0	8	12	156
PCT7539	MV	884	286	0	0	1	52	233	0	5	12	216
PCT7541	ED	791	215	0	0	0	69	146	1	6	7	132
PCT7541	MV	791	245	0	0	0	39	206	1	6	5	194
PCT7542	ED	787	183	0	0	0	50	133	0	0	9	124
PCT7542	MV	787	247	0	0	0	49	198	0	3	11	184
PCT7543	ED	910	187	0	0	0	50	137	1	3	9	124
PCT7543	MV	910	332	0	0	0	64	268	0	11	5	252
PCT7544	ED	877	186	0	0	0	35	151	2	8	5	136
PCT7544	MV	877	331	0	0	1	73	257	0	8	7	242
PCT7545	ED	877	179	0	0	0	45	134	0	6	5	123
PCT7545	MV	877	291	0	0	0	59	232	0	15	9	208
PCT7546	ED	913	219	0	0	0	51	168	0	6	11	151
PCT7546	MV	913	310	0	0	0	53	257	0	10	9	238
PCT7547	ED	987	244	0	0	0	69	175	1	5	8	161
PCT7547	MV	987	322	0	0	0	73	249	0	8	8	233
PCT7548	ED	1054	236	0	0	0	63	173	0	8	9	156
PCT7548	MV	1054	345	0	0	0	71	274	2	10	10	252
PCT7549	ED	785	165	0	0	0	37	128	0	5	5	118
PCT7549	MV	785	281	0	0	0	48	233	2	12	10	209
PCT7551	ED	705	199	0	0	1	50	148	0	4	11	133
PCT7551	MV	705	240	0	0	0	47	193	0	4	6	183
PCT7552	ED	718	191	0	0	0	46	145	0	4	7	134
PCT7552	MV	718	232	0	0	0	56	176	0	11	4	161
PCT7553	MV	171	87	0	0	0	16	71	0	6	1	64
PCT7554	ED	785	179	0	0	0	38	141	2	5	6	128
PCT7554	MV	785	323	0	0	0	53	270	0	24	6	240
PCT7555	ED	847	242	0	0	0	48	194	1	7	6	180
PCT7555	MV	847	304	0	0	0	64	240	0	12	3	225
PCT7556	ED	961	223	0	0	0	54	169	0	19	2	148
PCT7556	MV	961	422	0	0	0	77	345	0	17	8	320
PCT7601	ED	744	128	0	0	0	32	96	0	14	13	69
PCT7601	MV	744	185	0	0	0	52	133	2	13	20	98
PCT7602	ED	880	147	0	0	0	38	109	0	9	7	93
PCT7602	MV	880	243	0	0	0	42	201	0	15	18	168
PCT7603	ED	826	152	0	0	1	36	115	0	7	10	98
PCT7603	MV	826	215	0	0	0	38	177	0	7	11	159
PCT7604	ED	906	133	0	0	0	34	99	1	14	10	74
PCT7604	MV	906	233	0	0	1	46	186	1	17	12	156
PCT7605	ED	651	77	0	0	0	21	56	0	1	9	46
PCT7605	MV	651	155	0	0	3	39	113	0	12	7	94
PCT7606	ED	895	127	0	0	0	35	92	0	10	15	67
PCT7606	MV	895	212	0	0	0	37	175	2	16	24	133
PCT7607	ED	955	120	0	0	0	27	93	0	3	10	80
PCT7607	MV	955	265	0	0	0	47	218	0	20	12	186
PCT7608	ED	388	46	0	0	0	17	29	0	4	7	18
PCT7608	MV	388	119	0	0	0	20	99	0	15	12	72
PCT7609	ED	916	101	0	0	0	36	65	1	4	11	49
PCT7609	MV	916	297	0	0	0	67	230	0	19	21	190
PCT7611	ED	756	76	0	0	0	26	50	1	7	8	34
PCT7611	MV	756	204	0	0	0	54	150	0	11	19	120
PCT7612	ED	574	76	0	0	0	18	58	0	4	3	51
PCT7612	MV	574	210	0	0	0	56	154	0	15	6	133
PCT7613	ED	887	140	0	0	0	29	111	0	6	13	92
PCT7613	MV	887	215	0	0	0	47	168	0	14	15	139
PCT7614	ED	1015	123	0	0	0	34	89	0	6	12	71
PCT7614	MV	1015	238	0	0	0	32	206	1	26	22	157
PCT7615	ED	832	108	0	0	2	44	62	1	5	6	50
PCT7615	MV	832	170	0	0	0	34	136	0	9	14	113
PCT7616	ED	951	129	0	0	0	27	102	1	4	3	94
PCT7616	MV	951	331	0	0	0	56	275	0	23	8	244
PCT7617	ED	751	84	0	0	0	36	48	0	5	9	34
PCT7617	MV	751	223	0	0	0	63	160	1	16	23	120
PCT7618	ED	866	123	0	0	0	32	91	0	8	9	74
PCT7618	MV	866	272	0	0	0	51	221	2	18	13	188
PCT7619	ED	993	154	0	0	0	36	118	0	10	6	102
PCT7619	MV	993	308	0	0	0	46	262	1	23	14	224
PCT7621	ED	1132	163	0	0	0	34	129	1	14	6	108
PCT7621	MV	1132	346	0	0	0	56	290	1	27	14	248
PCT7622	ED	964	99	0	0	1	26	72	0	8	14	50
