area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT7311	TO	866	370	0	1	93	0	276	0	276
PCT7312	ED	801	91	0	0	15	0	76	0	76
PCT7312	MV	801	288	0	0	63	0	225	0	225
PCT7312	TO	801	379	0	0	78	0	301	0	301
PCT7314	ED	1749	142	0	0	40	0	102	0	102
PCT7314	MV	1749	501	0	0	168	0	333	0	333
PCT7314	TO	1749	643	0	0	208	0	435	0	435
PCT7315	ED	1584	175	0	0	47	0	128	0	128
PCT7315	MV	1584	359	0	0	103	0	256	0	256
PCT7315	TO	1584	534	0	0	150	0	384	0	384
PCT7317	ED	875	83	0	0	20	0	63	0	63
PCT7317	MV	875	300	0	0	88	0	212	0	212
PCT7317	TO	875	383	0	0	108	0	275	0	275
PCT7318	ED	1567	142	0	0	30	0	112	0	112
PCT7318	MV	1567	427	0	0	104	0	323	0	323
PCT7318	TO	1567	569	0	0	134	0	435	0	435
PCT7321	ED	1533	86	0	0	28	0	58	0	58
PCT7321	MV	1533	455	0	0	157	0	298	0	298
PCT7321	TO	1533	541	0	0	185	0	356	0	356
PCT7323	ED	1967	190	0	0	49	0	141	0	141
PCT7323	MV	1967	498	0	0	148	0	350	0	350
PCT7323	TO	1967	688	0	0	197	0	491	0	491
PCT7325	ED	1588	145	0	0	40	0	105	0	105
PCT7325	MV	1588	425	0	0	112	0	313	0	313
PCT7325	TO	1588	570	0	0	152	0	418	0	418
PCT7326	ED	1709	164	0	0	34	0	130	0	130
PCT7326	MV	1709	525	0	0	163	0	362	0	362
PCT7326	TO	1709	689	0	0	197	0	492	0	492
PCT7327	ED	668	40	0	0	11	0	29	0	29
PCT7327	MV	668	217	0	0	71	0	146	0	146
PCT7327	TO	668	257	0	0	82	0	175	0	175
PCT7328	ED	985	42	0	0	14	0	28	0	28
PCT7328	MV	985	331	0	0	108	0	223	0	223
PCT7328	TO	985	373	0	0	122	0	251	0	251
PCT7329	ED	638	52	0	0	18	0	34	0	34
PCT7329	MV	638	196	0	1	54	0	141	0	141
PCT7329	TO	638	248	0	1	72	0	175	0	175
PCT7331	ED	850	113	0	0	31	0	82	0	82
PCT7331	MV	850	302	0	0	84	0	218	0	218
PCT7331	TO	850	415	0	0	115	0	300	0	300
PCT7332	ED	1601	185	0	0	51	0	134	0	134
PCT7332	MV	1601	439	0	0	113	0	326	0	326
PCT7332	TO	1601	624	0	0	164	0	460	0	460
PCT7333	ED	1930	190	0	0	44	0	146	0	146
PCT7333	MV	1930	542	0	0	153	0	389	0	389
PCT7333	TO	1930	732	0	0	197	0	535	0	535
PCT7336	ED	2021	214	0	0	70	0	144	0	144
PCT7336	MV	2021	557	0	0	145	0	412	0	412
PCT7336	TO	2021	771	0	0	215	0	556	0	556
PCT7338	ED	1783	151	0	0	46	0	105	0	105
PCT7338	MV	1783	541	0	0	166	0	375	0	375
PCT7338	TO	1783	692	0	0	212	0	480	0	480
PCT7339	ED	1588	158	0	0	41	0	117	0	117
PCT7339	MV	1588	411	0	0	114	0	297	0	297
PCT7339	TO	1588	569	0	0	155	0	414	0	414
PCT7342	ED	909	158	0	0	45	0	113	0	113
PCT7342	MV	909	231	0	0	59	0	172	0	172
PCT7342	TO	909	389	0	0	104	0	285	0	285
