area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	13:DENNIS J. HERRERA
PCT7531	ED	839	74	0	0	13	0	61	0	61
PCT7531	MV	839	86	0	0	12	0	74	0	74
PCT7531	TO	839	160	0	0	25	0	135	0	135
PCT7532	ED	792	90	0	0	15	0	75	0	75
PCT7532	MV	792	109	0	0	17	0	92	0	92
PCT7532	TO	792	199	0	0	32	0	167	0	167
PCT7533	ED	936	168	0	0	32	0	136	0	136
PCT7533	MV	936	100	0	0	17	0	83	0	83
PCT7533	TO	936	268	0	0	49	0	219	0	219
PCT7534	ED	881	116	0	0	24	0	92	0	92
PCT7534	MV	881	85	0	0	24	0	61	0	61
PCT7534	TO	881	201	0	0	48	0	153	0	153
PCT7536	ED	1594	242	0	0	34	0	208	2	206
PCT7536	MV	1594	229	0	0	48	0	181	0	181
PCT7536	TO	1594	471	0	0	82	0	389	2	387
PCT7537	ED	1472	217	0	0	29	0	188	1	187
PCT7537	MV	1472	179	0	0	31	0	148	0	148
PCT7537	TO	1472	396	0	0	60	0	336	1	335
PCT7539	ED	906	180	0	0	29	0	151	0	151
PCT7539	MV	906	84	0	0	15	0	69	0	69
PCT7539	TO	906	264	0	0	44	0	220	0	220
PCT7541	ED	769	100	0	0	24	0	76	1	75
PCT7541	MV	769	100	0	0	18	0	82	0	82
PCT7541	TO	769	200	0	0	42	0	158	1	157
PCT7543	ED	1718	204	0	0	37	0	167	2	165
PCT7543	MV	1718	201	0	0	34	0	167	0	167
PCT7543	TO	1718	405	0	0	71	0	334	2	332
PCT7544	ED	892	112	0	0	24	0	88	2	86
PCT7544	MV	892	119	0	0	22	0	97	0	97
PCT7544	TO	892	231	0	0	46	0	185	2	183
PCT7545	ED	877	110	0	0	11	0	99	0	99
PCT7545	MV	877	115	0	0	16	0	99	0	99
PCT7545	TO	877	225	0	0	27	0	198	0	198
PCT7546	ED	1900	271	0	0	60	0	211	0	211
PCT7546	MV	1900	248	0	0	31	0	217	0	217
PCT7546	TO	1900	519	0	0	91	0	428	0	428
PCT7548	ED	1027	149	0	0	27	0	122	1	121
PCT7548	MV	1027	140	0	1	17	0	122	0	122
PCT7548	TO	1027	289	0	1	44	0	244	1	243
PCT7549	ED	799	99	0	0	15	0	84	0	84
PCT7549	MV	799	135	0	0	34	0	101	0	101
PCT7549	TO	799	234	0	0	49	0	185	0	185
PCT7552	ED	685	97	0	0	10	0	87	1	86
PCT7552	MV	685	86	0	0	7	0	79	0	79
PCT7552	TO	685	183	0	0	17	0	166	1	165
PCT7553	MV	182	33	0	0	7	0	26	0	26
PCT7553	TO	182	33	0	0	7	0	26	0	26
PCT7554	ED	795	107	0	0	11	0	96	1	95
PCT7554	MV	795	128	0	0	24	0	104	0	104
PCT7554	TO	795	235	0	0	35	0	200	1	199
PCT7555	ED	1584	271	0	0	36	0	235	1	234
PCT7555	MV	1584	228	0	0	36	0	192	0	192
PCT7555	TO	1584	499	0	0	72	0	427	1	426
PCT7556	ED	958	113	0	0	17	0	96	1	95
PCT7556	MV	958	151	0	0	23	0	128	0	128
PCT7556	TO	958	264	0	0	40	0	224	1	223
PCT7601	ED	677	61	0	0	16	0	45	2	43
PCT7601	MV	677	82	0	0	18	0	64	0	64
PCT7601	TO	677	143	0	0	34	0	109	2	107
PCT7602	ED	1659	137	0	0	32	0	105	0	105
PCT7602	MV	1659	187	0	0	40	0	147	0	147
PCT7602	TO	1659	324	0	0	72	0	252	0	252
PCT7605	ED	1508	75	0	0	15	0	60	1	59
PCT7605	MV	1508	318	0	2	71	0	245	0	245
PCT7605	TO	1508	393	0	2	86	0	305	1	304
PCT7606	ED	887	62	0	0	7	0	55	0	55
PCT7606	MV	887	78	0	0	8	0	70	0	70
PCT7606	TO	887	140	0	0	15	0	125	0	125
PCT7607	ED	900	65	0	0	15	0	50	0	50
PCT7607	MV	900	131	0	1	29	0	101	0	101
PCT7607	TO	900	196	0	1	44	0	151	0	151
