area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	24:JOSÉ CISNEROS
PCT7505	ED	851	78	0	0	11	0	67	1	66
PCT7505	MV	851	250	0	0	49	0	201	0	201
PCT7505	TO	851	328	0	0	60	0	268	1	267
PCT7506	ED	1913	135	0	0	22	0	113	0	113
PCT7506	MV	1913	285	0	0	79	0	206	0	206
PCT7506	TO	1913	420	0	0	101	0	319	0	319
PCT7508	ED	720	75	0	0	13	0	62	0	62
PCT7508	MV	720	159	0	0	38	0	121	0	121
PCT7508	TO	720	234	0	0	51	0	183	0	183
PCT7509	ED	914	100	0	0	21	0	79	1	78
PCT7509	MV	914	164	0	0	36	0	128	0	128
PCT7509	TO	914	264	0	0	57	0	207	1	206
PCT7512	ED	588	58	0	0	16	0	42	0	42
PCT7512	MV	588	117	0	0	33	0	84	0	84
PCT7512	TO	588	175	0	0	49	0	126	0	126
PCT7513	ED	784	79	0	0	23	0	56	0	56
PCT7513	MV	784	108	0	0	29	0	79	0	79
PCT7513	TO	784	187	0	0	52	0	135	0	135
PCT7514	ED	901	54	0	0	9	0	45	0	45
PCT7514	MV	901	141	0	0	34	0	107	0	107
PCT7514	TO	901	195	0	0	43	0	152	0	152
PCT7515	ED	852	70	0	0	13	0	57	1	56
PCT7515	MV	852	101	0	0	25	0	76	0	76
PCT7515	TO	852	171	0	0	38	0	133	1	132
PCT7516	ED	906	89	0	0	17	0	72	0	72
PCT7516	MV	906	189	0	2	45	0	142	0	142
PCT7516	TO	906	278	0	2	62	0	214	0	214
PCT7518	ED	1754	221	0	0	59	0	162	0	162
PCT7518	MV	1754	218	0	0	54	0	164	0	164
PCT7518	TO	1754	439	0	0	113	0	326	0	326
PCT7519	ED	709	88	0	0	23	0	65	0	65
PCT7519	MV	709	76	0	0	21	0	55	0	55
PCT7519	TO	709	164	0	0	44	0	120	0	120
PCT7521	ED	761	98	0	0	24	0	74	2	72
PCT7521	MV	761	94	0	0	24	0	70	0	70
PCT7521	TO	761	192	0	0	48	0	144	2	142
PCT7522	ED	1464	203	0	0	51	0	152	0	152
PCT7522	MV	1464	158	0	0	44	0	114	0	114
PCT7522	TO	1464	361	0	0	95	0	266	0	266
PCT7524	ED	606	75	0	0	14	0	61	0	61
PCT7524	MV	606	60	0	0	14	0	46	0	46
PCT7524	TO	606	135	0	0	28	0	107	0	107
PCT7525	ED	762	67	0	0	9	0	58	1	57
PCT7525	MV	762	79	0	0	14	0	65	0	65
PCT7525	TO	762	146	0	0	23	0	123	1	122
PCT7526	ED	974	93	0	0	21	0	72	0	72
PCT7526	MV	974	127	0	0	36	0	91	0	91
