area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	26:JENNY LAM	27:KIRSTEN STROBEL	28:ROBERT K. COLEMAN
PCT7204	TO	890	396	0	1	71	324	0	239	58	27
PCT7205	ED	862	108	0	1	22	85	0	53	18	14
PCT7205	MV	862	269	0	1	59	209	0	152	35	22
PCT7205	TO	862	377	0	2	81	294	0	205	53	36
PCT7207	ED	1483	126	0	0	22	104	0	72	19	13
PCT7207	MV	1483	552	0	0	126	426	0	314	71	41
PCT7207	TO	1483	678	0	0	148	530	0	386	90	54
PCT7208	ED	560	48	0	0	14	34	0	21	9	4
PCT7208	MV	560	159	0	0	22	137	1	92	23	21
PCT7208	TO	560	207	0	0	36	171	1	113	32	25
PCT7301	ED	1993	200	0	0	29	171	0	117	26	28
PCT7301	MV	1993	554	0	3	112	439	0	328	63	48
PCT7301	TO	1993	754	0	3	141	610	0	445	89	76
PCT7302	ED	838	98	0	0	14	84	0	60	9	15
PCT7302	MV	838	312	0	2	60	250	0	181	39	30
PCT7302	TO	838	410	0	2	74	334	0	241	48	45
PCT7305	ED	1633	223	0	0	50	173	0	122	24	27
PCT7305	MV	1633	493	0	0	102	391	0	286	62	43
PCT7305	TO	1633	716	0	0	152	564	0	408	86	70
PCT7306	ED	2083	208	0	0	44	164	0	102	33	29
PCT7306	MV	2083	532	0	3	90	439	0	321	72	46
PCT7306	TO	2083	740	0	3	134	603	0	423	105	75
PCT7308	ED	614	98	0	0	19	79	0	54	12	13
PCT7308	MV	614	180	0	2	38	140	0	100	16	24
PCT7308	TO	614	278	0	2	57	219	0	154	28	37
PCT7311	ED	866	124	0	0	24	100	0	69	17	14
PCT7311	MV	866	247	0	1	49	197	0	145	21	31
PCT7311	TO	866	371	0	1	73	297	0	214	38	45
PCT7312	ED	801	91	0	1	16	74	0	48	19	7
PCT7312	MV	801	289	0	0	52	237	0	189	30	18
PCT7312	TO	801	380	0	1	68	311	0	237	49	25
PCT7314	ED	1749	142	0	1	29	112	0	65	23	24
PCT7314	MV	1749	501	0	3	120	378	0	284	49	45
PCT7314	TO	1749	643	0	4	149	490	0	349	72	69
PCT7315	ED	1584	175	0	0	36	139	0	89	24	26
PCT7315	MV	1584	360	0	4	62	294	0	218	45	31
PCT7315	TO	1584	535	0	4	98	433	0	307	69	57
PCT7317	ED	875	83	0	0	20	63	0	45	10	8
PCT7317	MV	875	300	0	0	61	239	0	169	38	32
PCT7317	TO	875	383	0	0	81	302	0	214	48	40
PCT7318	ED	1567	142	0	0	25	117	0	74	31	12
PCT7318	MV	1567	433	0	3	80	350	0	274	45	31
PCT7318	TO	1567	575	0	3	105	467	0	348	76	43
PCT7321	ED	1533	86	0	0	18	68	0	47	11	10
PCT7321	MV	1533	456	0	4	83	369	0	299	37	33
PCT7321	TO	1533	542	0	4	101	437	0	346	48	43
PCT7323	ED	1967	190	0	0	41	149	0	97	30	22
PCT7323	MV	1967	498	0	0	101	397	0	320	34	43
PCT7323	TO	1967	688	0	0	142	546	0	417	64	65
PCT7325	ED	1588	145	0	0	26	119	0	90	20	9
PCT7325	MV	1588	427	0	2	83	342	0	283	40	19
PCT7325	TO	1588	572	0	2	109	461	0	373	60	28
PCT7326	ED	1709	164	0	0	27	137	0	112	14	11
PCT7326	MV	1709	527	0	0	83	444	0	355	47	42
PCT7326	TO	1709	691	0	0	110	581	0	467	61	53
PCT7327	ED	668	40	0	1	6	33	0	26	4	3
PCT7327	MV	668	217	0	5	42	170	0	139	13	18
PCT7327	TO	668	257	0	6	48	203	0	165	17	21
PCT7328	ED	985	42	0	0	10	32	0	19	5	8
PCT7328	MV	985	328	0	3	47	278	0	222	32	24
PCT7328	TO	985	370	0	3	57	310	0	241	37	32
PCT7329	ED	638	52	0	0	15	37	0	31	3	3
PCT7329	MV	638	196	0	0	26	170	0	136	19	15
PCT7329	TO	638	248	0	0	41	207	0	167	22	18
PCT7331	ED	850	113	0	0	14	99	0	66	18	15
PCT7331	MV	850	302	0	0	67	235	0	190	23	22
PCT7331	TO	850	415	0	0	81	334	0	256	41	37
PCT7332	ED	1601	185	0	1	45	139	0	86	24	29
PCT7332	MV	1601	441	0	1	88	352	0	255	62	35
PCT7332	TO	1601	626	0	2	133	491	0	341	86	64
PCT7333	ED	1930	190	0	0	31	159	0	112	25	22
PCT7333	MV	1930	541	0	1	105	435	0	341	46	48
PCT7333	TO	1930	731	0	1	136	594	0	453	71	70
PCT7336	ED	2021	214	0	0	55	159	0	97	38	24
PCT7336	MV	2021	558	0	1	104	453	0	350	45	58
PCT7336	TO	2021	772	0	1	159	612	0	447	83	82
PCT7338	ED	1783	150	0	0	26	124	0	93	17	14
PCT7338	MV	1783	543	0	4	102	437	0	350	46	41
PCT7338	TO	1783	693	0	4	128	561	0	443	63	55
PCT7339	ED	1588	158	0	0	35	123	0	87	22	14
PCT7339	MV	1588	412	0	3	82	327	0	244	43	40
PCT7339	TO	1588	570	0	3	117	450	0	331	65	54
PCT7342	ED	909	158	0	0	27	131	0	71	32	28
PCT7342	MV	909	234	0	0	37	197	0	157	22	18
PCT7342	TO	909	392	0	0	64	328	0	228	54	46
PCT7343	ED	706	89	0	0	18	71	0	48	14	9
