||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
District Total||281460|133579|64799|7637|1541|2580|883|2210|2510|65721
|Percent||0.4745931923389435|0.23022454977035522|0.02713351882994175|0.005475023295730352|0.009166489355266094|0.0031372131779789925|0.007851915434002876|0.008917786180973053|0.23350031673908234

State Assembly 38
|Los Angeles|225293|84702|72351|6924|683|1946|677|1163|1843|55004
|Ventura|77269|25045|29476|2404|218|776|197|828|845|17480
District Total||302562|109747|101827|9328|901|2722|874|1991|2688|72484
|Percent||0.3627256453037262|0.33654919266700745|0.03083004429936409|0.0029779020696878433|0.008996503427624702|0.00288866413757205|0.006580469664186239|0.008884129114449024|0.23956742882728577

State Assembly 39
|Los Angeles|244380|128481|34386|5825|1092|1685|1675|1427|2071|67738
District Total||244380|128481|34386|5825|1092|1685|1675|1427|2071|67738
|Percent||0.5257427096366882|0.1407070904970169|0.02383582852780819|0.004468450788408518|0.006894999649375677|0.0068540796637535095|0.005839266814291477|0.008474507369101048|0.27718308568000793

State Assembly 40
|San Bernardino|248237|103070|74584|8921|746|2060|1267|1527|1487|54575
District Total||248237|103070|74584|8921|746|2060|1267|1527|1487|54575
|Percent||0.41520804166793823|0.3004547953605652|0.03593743219971657|0.0030051926150918007|0.008298520930111408|0.005103993229568005|0.006151379551738501|0.005990243051201105|0.21985039114952087

State Assembly 41
|Los Angeles|240699|117070|54773|5893|1088|1814|910|1114|1811|56226
|San Bernardino|59766|20842|22353|2140|191|535|232|304|362|12807
District Total||300465|137912|77126|8033|1279|2349|1142|1418|2173|69033
|Percent||0.4589952230453491|0.25668880343437195|0.026735227555036545|0.004256735555827618|0.007817882113158703|0.0038007753901183605|0.004719351883977652|0.0072321235202252865|0.22975388169288635

State Assembly 42
|Riverside|191195|74539|64410|7248|534|1579|784|1054|1020|40027
|San Bernardino|64321|18200|26823|3207|275|798|274|408|433|13903
District Total||255516|92739|91233|10455|809|2377|1058|1462|1453|53930
|Percent||0.36294791102409363|0.3570539653301239|0.040917202830314636|0.003166142152622342|0.009302744641900063|0.004140641074627638|0.00572175532579422|0.005686532240360975|0.21106310188770294

State Assembly 43
|Los Angeles|294001|142165|54646|6670|1269|2105|1187|1709|2390|81860
District Total||294001|142165|54646|6670|1269|2105|1187|1709|2390|81860
|Percent||0.4835527837276459|0.18587011098861694|0.022686997428536415|0.0043163117952644825|0.007159839384257793|0.004037401173263788|0.005812905263155699|0.008129224181175232|0.2784344255924225

State Assembly 44
|Los Angeles|6344|2259|2257|197|12|44|11|24|69|1471
|Ventura|244365|102842|70163|6606|739|2073|840|2733|2710|55659
District Total||250709|105101|72420|6803|751|2117|851|2757|2779|57130
|Percent||0.4192151129245758|0.2888607978820801|0.02713504433631897|0.002995504764840007|0.008444053120911121|0.003394373459741473|0.010996812954545021|0.01108456403017044|0.227873757481575

State Assembly 45
|Los Angeles|285523|138888|58337|7408|1130|2018|1352|1585|2275|72530
|Ventura|1370|522|423|49|3|13|2|18|15|325
District Total||286893|139410|58760|7457|1133|2031|1354|1603|2290|72855
|Percent||0.48593029379844666|0.20481503009796143|0.025992268696427345|0.003949207719415426|0.007079294417053461|0.004719529766589403|0.0055874488316476345|0.007982069626450539|0.25394484400749207

State Assembly 46
|Los Angeles|261154|140985|35491|6478|1119|2003|1316|1480|2142|70140
District Total||261154|140985|35491|6478|1119|2003|1316|1480|2142|70140
|Percent||0.5398538708686829|0.13590066134929657|0.024805286899209023|0.004284827969968319|0.007669804152101278|0.005039172247052193|0.005667154211550951|0.00820205733180046|0.2685771584510803

State Assembly 47
|San Bernardino|215505|106219|39655|6778|591|1532|1746|1629|1192|56163
District Total||215505|106219|39655|6778|591|1532|1746|1629|1192|56163
|Percent||0.49288415908813477|0.18400965631008148|0.03145170584321022|0.0027423957362771034|0.007108883932232857|0.008101900108158588|0.007558989338576794|0.005531194154173136|0.2606111168861389

State Assembly 48
|Los Angeles|239440|112985|50175|6176|802|1657|1923|1483|1799|62440
District Total||239440|112985|50175|6176|802|1657|1923|1483|1799|62440
|Percent||0.47187185287475586|0.20955145359039307|0.025793518871068954|0.0033494820818305016|0.0069203139282763|0.008031239733099937|0.006193618290126324|0.007513364311307669|0.2607751488685608

State Assembly 49
|Los Angeles|225979|96977|41184|4441|772|1245|1447|1917|1470|76526
District Total||225979|96977|41184|4441|772|1245|1447|1917|1470|76526
|Percent||0.429141640663147|0.18224702775478363|0.019652267917990685|0.003416246734559536|0.005509361624717712|0.006403249688446522|0.00848308950662613|0.006505029276013374|0.33864209055900574

State Assembly 50
|Los Angeles|341073|184462|50881|8123|1631|2624|972|1552|3044|87784
District Total||341073|184462|50881|8123|1631|2624|972|1552|3044|87784
|Percent||0.54082852602005|0.14917920529842377|0.02381601557135582|0.004781967494636774|0.0076933675445616245|0.002849829848855734|0.004550345707684755|0.008924775756895542|0.2573759853839874

State Assembly 51
|Los Angeles|239331|145677|19871|4325|1270|1425|1998|1614|1597|61554
District Total||239331|145677|19871|4325|1270|1425|1998|1614|1597|61554
|Percent||0.6086841821670532|0.08302727341651917|0.018071206286549568|0.005306458566337824|0.0059540970250964165|0.008348271250724792|0.0067437984980642796|0.006672766990959644|0.257191926240921

State Assembly 52
|Los Angeles|69517|35148|10482|1846|263|520|1043|479|569|19167
|San Bernardino|144612|66911|33610|4563|431|1192|940|1027|738|35200
District Total||214129|102059|44092|6409|694|1712|1983|1506|1307|54367
|Percent||0.47662389278411865|0.2059132605791092|0.029930556192994118|0.003241037018597126|0.007995180785655975|0.009260772727429867|0.007033143658190966|0.006103797350078821|0.25389835238456726

State Assembly 53
|Los Angeles|201581|117553|16745|3888|992|1274|1653|1717|1488|56271
District Total||201581|117553|16745|3888|992|1274|1653|1717|1488|56271
|Percent||0.5831551551818848|0.08306834101676941|0.019287532195448875|0.004921098705381155|0.0063200402073562145|0.008200177922844887|0.008517667651176453|0.007381648290902376|0.2791483402252197

State Assembly 54
|Los Angeles|310723|194955|26511|6309|1268|1826|1401|1530|2457|74466
District Total||310723|194955|26511|6309|1268|1826|1401|1530|2457|74466
|Percent||0.6274237632751465|0.0853203684091568|0.020304258912801743|0.004080804996192455|0.005876616574823856|0.00450883898884058|0.004923999775201082|0.007907364517450333|0.23965397477149963

State Assembly 55
|Los Angeles|90090|34330|21341|1887|240|426|464|593|674|30135
|Orange|129848|40700|52998|3750|303|1161|294|188|346|30108
|San Bernardino|42213|14630|14566|1253|91|334|120|244|179|10796
District Total||262151|89660|88905|6890|634|1921|878|1025|1199|71039
|Percent||0.34201663732528687|0.33913660049438477|0.02628256194293499|0.002418453572317958|0.007327837869524956|0.003349214792251587|0.003909960389137268|0.0045737000182271|0.27098503708839417

State Assembly 56
|Imperial|77111|37161|14593|1930|217|477|537|768|339|21089
|Riverside|116964|55740|29228|3571|321|805|659|773|510|25357
District Total||194075|92901|43821|5501|538|1282|1196|1541|849|46446
|Percent||0.47868606448173523|0.22579415142536163|0.028344711288809776|0.0027721242513507605|0.006605693604797125|0.006162566132843494|0.007940229028463364|0.00437459722161293|0.23931984603405

State Assembly 57
|Los Angeles|255044|123239|54767|6490|808|1670|1697|1275|1772|63326
District Total||255044|123239|54767|6490|808|1670|1697|1275|1772|63326
|Percent||0.4832068085670471|0.2147354930639267|0.025446590036153793|0.0031680807005614042|0.006547889672219753|0.006653754040598869|0.004999137483537197|0.006947820540517569|0.2482944130897522

State Assembly 58
|Los Angeles|250822|131529|41806|5675|797|1469|1885|1456|1736|64469
District Total||250822|131529|41806|5675|797|1469|1885|1456|1736|64469
|Percent||0.524391770362854|0.16667596995830536|0.022625606507062912|0.0031775522511452436|0.005856743082404137|0.007515289820730686|0.005804913584142923|0.006921242922544479|0.2570308744907379

State Assembly 59
|Los Angeles|210566|135358|10616|4282|758|915|2091|1762|1510|53274
District Total||210566|135358|10616|4282|758|915|2091|1762|1510|53274
|Percent||0.6428292989730835|0.0504164956510067|0.020335666835308075|0.0035998213570564985|0.004345430992543697|0.009930377826094627|0.008367923088371754|0.007171148434281349|0.2530038058757782

State Assembly 60
|Riverside|226737|93018|70251|6708|554|1843|1012|1435|862|51054
District Total||226737|93018|70251|6708|554|1843|1012|1435|862|51054
|Percent||0.41024622321128845|0.309834748506546|0.029584936797618866|0.0024433594662696123|0.008128359913825989|0.004463321063667536|0.006328918505460024|0.0038017614278942347|0.2251683622598648

State Assembly 61
|Riverside|219628|103793|52190|6526|684|1722|1255|1474|921|51063
District Total||219628|103793|52190|6526|684|1722|1255|1474|921|51063
|Percent||0.4725854694843292|0.23762908577919006|0.029713880270719528|0.003114356892183423|0.007840530015528202|0.005714207887649536|0.0067113484255969524|0.004193454515188932|0.2324976772069931

State Assembly 62
|Los Angeles|283027|167601|30332|6453|1106|1878|1571|1691|2482|69913
District Total||283027|167601|30332|6453|1106|1878|1571|1691|2482|69913
|Percent||0.592173159122467|0.1071699857711792|0.022799944505095482|0.003907754551619291|0.006635409314185381|0.005550707224756479|0.005974695086479187|0.00876948144286871|0.24701882898807526

State Assembly 63
|Los Angeles|220210|122713|29538|4943|725|1349|2184|1402|1525|55831
District Total||220210|122713|29538|4943|725|1349|2184|1402|1525|55831
|Percent||0.557254433631897|0.13413560390472412|0.022446755319833755|0.003292311914265156|0.006125970743596554|0.009917805902659893|0.006366650108247995|0.0069252075627446175|0.25353527069091797

State Assembly 64
|Los Angeles|248831|152553|20601|5282|739|1066|2534|1678|2046|62332
District Total||248831|152553|20601|5282|739|1066|2534|1678|2046|62332
|Percent||0.613078773021698|0.08279113471508026|0.021227259188890457|0.0029698871076107025|0.00428403215482831|0.010183618403971195|0.006743532605469227|0.008222447708249092|0.25049933791160583

State Assembly 65
|Orange|222864|92953|63668|5754|653|1796|910|353|593|56184
District Total||222864|92953|63668|5754|653|1796|910|353|593|56184
|Percent||0.4170839488506317|0.28568094968795776|0.025818435475230217|0.0029300381429493427|0.008058726787567139|0.004083207808434963|0.0015839255647733808|0.002660815604031086|0.2520999312400818

State Assembly 66
|Los Angeles|301171|126014|82623|7754|970|2436|893|1455|2306|76720
District Total||301171|126014|82623|7754|970|2436|893|1455|2306|76720
|Percent||0.4184134602546692|0.2743391692638397|0.025746170431375504|0.0032207616604864597|0.008088428527116776|0.0029650928918272257|0.004831142257899046|0.007656779605895281|0.25473901629447937

State Assembly 67
|Riverside|269651|81957|107017|10979|741|2827|1084|1581|1383|62082
District Total||269651|81957|107017|10979|741|2827|1084|1581|1383|62082
|Percent||0.30393731594085693|0.39687225222587585|0.04071559011936188|0.0027479964774101973|0.010483921505510807|0.004020011052489281|0.005863134283572435|0.005128851626068354|0.2302309274673462

State Assembly 68
|Orange|278033|92934|98491|7829|803|2925|746|436|705|73164
District Total||278033|92934|98491|7829|803|2925|746|436|705|73164
|Percent||0.33425527811050415|0.35424211621284485|0.028158528730273247|0.002888146322220564|0.010520334355533123|0.002683134749531746|0.0015681592049077153|0.0025356702972203493|0.26314860582351685

State Assembly 69
|Orange|163430|83916|29186|3632|547|1395|1053|221|520|42960
District Total||163430|83916|29186|3632|547|1395|1053|221|520|42960
|Percent||0.51346755027771|0.17858409881591797|0.02222358249127865|0.0033469987101852894|0.008535764180123806|0.006443125661462545|0.0013522609369829297|0.003181790467351675|0.2628648281097412

State Assembly 70
|Los Angeles|278882|140266|52140|7694|1551|2446|2030|1536|2424|68795
District Total||278882|140266|52140|7694|1551|2446|2030|1536|2424|68795
|Percent||0.5029582381248474|0.18696078658103943|0.027588728815317154|0.0055614919401705265|0.008770735003054142|0.007279064040631056|0.005507705733180046|0.008691848255693913|0.24668139219284058

State Assembly 71
|Riverside|22163|5964|10045|1027|101|262|87|90|135|4452
|San Diego|249363|72541|98953|10172|761|2704|870|1173|1222|60967
District Total||271526|78505|108998|11199|862|2966|957|1263|1357|65419
