||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|County Supervisorial 2|1078242|670764|86500|22390|3945|5448|7700|7133|8384|265978
|County Supervisorial 3|1185447|632789|174889|28464|5256|8771|5477|6301|10025|313475
|County Supervisorial 4|1154750|537052|254702|30017|4375|8810|7335|6218|8977|297264
|County Supervisorial 5|1187484|504785|307274|32710|4232|9014|5175|6987|9090|308217

|US Congressional 23|47031|17256|16043|1824|110|401|215|316|367|10499
|US Congressional 25|348968|138577|105990|11627|1006|2952|1472|2119|2707|82518
|US Congressional 26|6344|2259|2257|197|12|44|11|24|69|1471
|US Congressional 27|385015|176510|77859|8150|1533|2494|1893|2510|2691|111375
|US Congressional 28|451809|230740|74482|10283|2111|3350|1875|2539|3666|122763
|US Congressional 29|343799|185768|41963|8046|1488|2328|2447|2170|2816|96773
|US Congressional 30|457360|228250|88583|11837|1862|3409|1900|2342|3745|115432
|US Congressional 32|356124|169163|72587|9146|1222|2398|2799|2234|2662|93913
|US Congressional 33|495794|230540|110690|12656|2030|4129|1244|2183|4378|127944
|US Congressional 34|334731|196290|29294|6351|1791|2099|2732|2695|2381|91098
|US Congressional 35|69207|35001|10406|1841|261|518|1040|477|566|19097
|US Congressional 37|446388|281607|35671|9139|1833|2513|2442|2481|3456|107246
|US Congressional 38|386166|191241|78418|9563|1228|2452|2623|1995|2760|95886
|US Congressional 39|108614|41305|26617|2306|277|563|505|672|708|35661
|US Congressional 40|300433|177157|30214|6145|1043|1666|2944|2144|2072|77048
|US Congressional 43|401333|229755|51852|9089|1336|2303|2403|2533|3157|98905
|US Congressional 44|362052|214828|36085|7808|1205|1861|3767|2353|2823|91322
