area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7538	MV	771	0	0	0	0	0	0	0
PCT7539	ED	922	0	0	0	0	0	0	0
PCT7539	MV	922	0	0	0	0	0	0	0
PCT7541	ED	805	0	0	0	0	0	0	0
PCT7541	MV	805	0	0	0	0	0	0	0
PCT7542	ED	821	0	0	0	0	0	0	0
PCT7542	MV	821	0	0	0	0	0	0	0
PCT7543	ED	909	0	0	0	0	0	0	0
PCT7543	MV	909	0	0	0	0	0	0	0
PCT7544	ED	898	0	0	0	0	0	0	0
PCT7544	MV	898	0	0	0	0	0	0	0
PCT7545	ED	918	0	0	0	0	0	0	0
PCT7545	MV	918	0	0	0	0	0	0	0
PCT7546	ED	982	0	0	0	0	0	0	0
PCT7546	MV	982	0	0	0	0	0	0	0
PCT7547	ED	1029	0	0	0	0	0	0	0
PCT7547	MV	1029	0	0	0	0	0	0	0
PCT7548	ED	1073	0	0	0	0	0	0	0
PCT7548	MV	1073	0	0	0	0	0	0	0
PCT7549	ED	811	0	0	0	0	0	0	0
PCT7549	MV	811	0	0	0	0	0	0	0
PCT7551	ED	741	0	0	0	0	0	0	0
PCT7551	MV	741	0	0	0	0	0	0	0
PCT7552	ED	727	0	0	0	0	0	0	0
PCT7552	MV	727	0	0	0	0	0	0	0
PCT7553	MV	180	0	0	0	0	0	0	0
PCT7554	ED	808	0	0	0	0	0	0	0
PCT7554	MV	808	0	0	0	0	0	0	0
PCT7555	ED	886	0	0	0	0	0	0	0
PCT7555	MV	886	0	0	0	0	0	0	0
PCT7556	ED	969	0	0	0	0	0	0	0
PCT7556	MV	969	0	0	0	0	0	0	0
PCT7601	ED	767	0	0	0	0	0	0	0
PCT7601	MV	767	0	0	0	0	0	0	0
PCT7602	ED	901	0	0	0	0	0	0	0
PCT7602	MV	901	0	0	0	0	0	0	0
PCT7603	ED	830	0	0	0	0	0	0	0
PCT7603	MV	830	0	0	0	0	0	0	0
PCT7604	ED	954	0	0	0	0	0	0	0
PCT7604	MV	954	0	0	0	0	0	0	0
PCT7605	ED	648	0	0	0	0	0	0	0
PCT7605	MV	648	0	0	0	0	0	0	0
PCT7606	ED	924	0	0	0	0	0	0	0
PCT7606	MV	924	0	0	0	0	0	0	0
PCT7607	ED	960	0	0	0	0	0	0	0
PCT7607	MV	960	0	0	0	0	0	0	0
PCT7608	ED	392	0	0	0	0	0	0	0
PCT7608	MV	392	0	0	0	0	0	0	0
PCT7609	ED	926	0	0	0	0	0	0	0
PCT7609	MV	926	0	0	0	0	0	0	0
PCT7611	ED	755	0	0	0	0	0	0	0
PCT7611	MV	755	0	0	0	0	0	0	0
PCT7612	ED	583	0	0	0	0	0	0	0
PCT7612	MV	583	0	0	0	0	0	0	0
PCT7613	ED	908	0	0	0	0	0	0	0
PCT7613	MV	908	0	0	0	0	0	0	0
PCT7614	ED	1029	0	0	0	0	0	0	0
PCT7614	MV	1029	0	0	0	0	0	0	0
PCT7615	ED	762	0	0	0	0	0	0	0
PCT7615	MV	762	0	0	0	0	0	0	0
PCT7616	ED	1203	0	0	0	0	0	0	0
PCT7616	MV	1203	0	0	0	0	0	0	0
PCT7617	ED	768	0	0	0	0	0	0	0
PCT7617	MV	768	0	0	0	0	0	0	0
PCT7618	ED	862	0	0	0	0	0	0	0
PCT7618	MV	862	0	0	0	0	0	0	0
PCT7619	ED	1063	0	0	0	0	0	0	0
PCT7619	MV	1063	0	0	0	0	0	0	0
PCT7621	ED	1320	0	0	0	0	0	0	0
PCT7621	MV	1320	0	0	0	0	0	0	0
PCT7622	ED	988	0	0	0	0	0	0	0
PCT7622	MV	988	0	0	0	0	0	0	0
PCT7623	ED	746	0	0	0	0	0	0	0
PCT7623	MV	746	0	0	0	0	0	0	0
PCT7624	ED	859	0	0	0	0	0	0	0
PCT7624	MV	859	0	0	0	0	0	0	0
PCT7625	ED	822	0	0	0	0	0	0	0
PCT7625	MV	822	0	0	0	0	0	0	0
PCT7626	ED	1114	0	0	0	0	0	0	0
PCT7626	MV	1114	0	0	0	0	0	0	0
PCT7627	ED	1187	0	0	0	0	0	0	0
PCT7627	MV	1187	0	0	0	0	0	0	0
PCT7628	ED	960	0	0	0	0	0	0	0
PCT7628	MV	960	0	0	0	0	0	0	0
PCT7629	ED	809	0	0	0	0	0	0	0
PCT7629	MV	809	0	0	0	0	0	0	0
PCT7631	ED	1155	0	0	0	0	0	0	0
PCT7631	MV	1155	0	0	0	0	0	0	0
PCT7632	ED	1124	0	0	0	0	0	0	0
PCT7632	MV	1124	0	0	0	0	0	0	0
PCT7633	ED	741	0	0	0	0	0	0	0
PCT7633	MV	741	0	0	0	0	0	0	0
PCT7634	ED	900	0	0	0	0	0	0	0
PCT7634	MV	900	0	0	0	0	0	0	0
PCT7635	ED	840	0	0	0	0	0	0	0
PCT7635	MV	840	0	0	0	0	0	0	0
PCT7636	ED	938	0	0	0	0	0	0	0
PCT7636	MV	938	0	0	0	0	0	0	0
PCT7637	ED	809	0	0	0	0	0	0	0
PCT7637	MV	809	0	0	0	0	0	0	0
PCT7638	ED	1467	0	0	0	0	0	0	0
PCT7638	MV	1467	0	0	0	0	0	0	0
PCT7639	ED	1011	0	0	0	0	0	0	0
PCT7639	MV	1011	0	0	0	0	0	0	0
PCT7641	ED	972	0	0	0	0	0	0	0
PCT7641	MV	972	0	0	0	0	0	0	0
PCT7642	ED	937	0	0	0	0	0	0	0
PCT7642	MV	937	0	0	0	0	0	0	0
PCT7643	ED	920	0	0	0	0	0	0	0
PCT7643	MV	920	0	0	0	0	0	0	0
PCT7644	ED	1175	0	0	0	0	0	0	0
PCT7644	MV	1175	0	0	0	0	0	0	0
PCT7645	ED	640	0	0	0	0	0	0	0
PCT7645	MV	640	0	0	0	0	0	0	0
PCT7646	ED	1100	0	0	0	0	0	0	0
PCT7646	MV	1100	0	0	0	0	0	0	0
PCT7647	ED	1075	0	0	0	0	0	0	0
PCT7647	MV	1075	0	0	0	0	0	0	0
PCT7648	MV	1	0	0	0	0	0	0	0
PCT7649	ED	891	0	0	0	0	0	0	0
PCT7649	MV	891	0	0	0	0	0	0	0
PCT7651	ED	677	0	0	0	0	0	0	0
PCT7651	MV	677	0	0	0	0	0	0	0
PCT7652	ED	628	0	0	0	0	0	0	0
PCT7652	MV	628	0	0	0	0	0	0	0
PCT7653	ED	1280	0	0	0	0	0	0	0
PCT7653	MV	1280	0	0	0	0	0	0	0
PCT7701	ED	1064	0	0	0	0	0	0	0
PCT7701	MV	1064	0	0	0	0	0	0	0
PCT7702	ED	748	0	0	0	0	0	0	0
PCT7702	MV	748	0	0	0	0	0	0	0
PCT7703	MV	171	0	0	0	0	0	0	0
PCT7704	ED	1008	0	0	0	0	0	0	0
PCT7704	MV	1008	0	0	0	0	0	0	0
PCT7705	ED	568	0	0	0	0	0	0	0
PCT7705	MV	568	0	0	0	0	0	0	0
PCT7706	ED	840	0	0	0	0	0	0	0
PCT7706	MV	840	0	0	0	0	0	0	0
PCT7707	ED	857	0	0	0	0	0	0	0
PCT7707	MV	857	0	0	0	0	0	0	0
PCT7708	ED	871	0	0	0	0	0	0	0
PCT7708	MV	871	0	0	0	0	0	0	0
PCT7709	ED	391	0	0	0	0	0	0	0
PCT7709	MV	391	0	0	0	0	0	0	0
PCT7711	ED	766	0	0	0	0	0	0	0
PCT7711	MV	766	0	0	0	0	0	0	0
PCT7712	ED	529	0	0	0	0	0	0	0
PCT7712	MV	529	0	0	0	0	0	0	0
PCT7801	ED	1001	0	0	0	0	0	0	0
PCT7801	MV	1001	0	0	0	0	0	0	0
