ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2020PRI   	807	7806 - 50 Scott St		Harvey Milk Recreation Center	50 Scott St	Btw Waller & Duboce	5.0% Slope	7806   	Pct 7806	7806   		3  
2020PRI   	816	7542 - 380 Webster St		John Muir School - Auditorium	380 Webster St	Btw Oak & Page	8.0% Slope - Ramped Access	7542   	Pct 7542	7542   		2  
2020PRI   	820	7544 - 7 Octavia St		First Baptist Church Of San Francisco	7 Octavia St	Entrance On Waller Between Octavia & Laguna	1.6% Slope	7544   	Pct 7544	7544   		2  
2020PRI   	822	7633 - 1035 Folsom St		Columbia Park Apartments	1035 Folsom St	Between 6th & 7th Streets	4.2% Slope	7633   	Pct 7633	7633   		3  
2020PRI   	830	7631 - 270 6th St		Gene Friend Recreation Center	270 6th St	Between Folsom & Howard	2.6% Slope	7631   	Pct 7631	7631   		3  
2020PRI   	834	7634 - 747 Folsom St		Mendelsohn House - Activities Room	747 Folsom St	Between 3rd & 4th Streets	8.3% Slope - Ramped Access	7634   	Pct 7634	7634   		3  
2020PRI   	846	7517 - 2049 Grove St		New Traditions Elementary School - Auditorium	2049 Grove St	Btw Cole & Clayton	7.9% slope	7517   	Pct 7517	7517   		2  
2020PRI   	847	7518 - 1860 Hayes St		John Adams Campus - Cafeteria	1860 Hayes St	Btw Masonic & Ashbury	8% Slope - Ramped Access	7518   	Pct 7518	7518   		2  
2020PRI   	848	7527/28 - 333 Baker St		Mercy Terrace - Lobby	333 Baker St	Btw Fell & Hayes	8.1% Slope - Ramped Access	7527   	Pct 7527/7528	7527   		2  
2020PRI   	848	7527/28 - 333 Baker St		Mercy Terrace - Lobby	333 Baker St	Btw Fell & Hayes	8.1% Slope - Ramped Access	7527   	Pct 7527/7528	7528   		2  
2020PRI   	853	7533 - 1833 Page St		Park Branch Library	1833 Page St	Btw Cole & Shrader	8.3% Slope - Ramped Access	7533   	Pct 7533	7533   		2  
2020PRI   	874	7555 - 165 Grattan St		Grattan Elementary School - Auditorium	165 Grattan St	Btw Cole & Shrader	5.6% Slope - Ramped Access	7555   	Pct 7555	7555   		2  
2020PRI   	880	7804 - 1025 14th Street		Mckinley Elementary School - Front Lobby	1025 14th St	Btw Castro &  Divisadero Sts	7.9% Slope	7804   	Pct 7804	7804   		3  
2020PRI   	893	7807 - 135 Sanchez St		Firehouse #6	135 Sanchez St	Btw 14th & Henry Sts	8.3% Slope	7807   	Pct 7807	7807   		3  
2020PRI   	900	7818 - 450 Church St		Everett Middle School - Rm 165	450 Church St	Btw 16th & 17th Sts	8.3% Slope - Ramped Access	7818   	Pct 7818	7818   		3  
2020PRI   	903	7828 - 500 Corbett Ave		Rooftop Mayeda Campus - Lobby	500 Corbett Ave	Corner Of Iron Alley & Corbett	7.7% Slope	7828   	Pct 7828	7828   		3  
2020PRI   	914	7822 - 100 Collingwood St		Eureka Valley Rec Ctr  - Multi Purpose Room	100 Collingwood St	Btw 18th & 19th St	8.3% Slope - Ramped Access	7822   	Pct 7822	7822   		3  
2020PRI   	927	7824 - 3850 18th St		3850 18th St Apartments - Community Room	3850 18th St	Btw Church & Sanchez Sts	1.6% Slope	7824   	Pct 7824	7824   		3  
2020PRI   	929	7812 - 145 Guerrero Street		St Francis Of Assisi - Community Room	145 Guerrero St	Btw Duboce & 14th Sts	10.3% Slope For 10 Feet - Curbside Voting Avail	7812   	Pct 7812	7812   		3  
2020PRI   	932	7819 - 450 Guerrero St		Boys & Girls Club - Dance Studio	450 Guerrero St	Btw 16th & 17th Sts	2.2% Slope	7819   	Pct 7819	7819   		3  
