sDistrictID	iSubDistrict	szDistrictName	sPrecinctID	sPrecinctPortion	szPrecinctName	dtLastUpdateDate
*0	0	County Wide	7921   		Pct 7921	5/30/2012 1:43:05 PM
*0	0	County Wide	7922   		Pct 7922	5/30/2012 1:43:05 PM
*0	0	County Wide	7923   		Pct 7923	5/30/2012 1:43:05 PM
*0	0	County Wide	7924   		Pct 7924	5/30/2012 1:43:05 PM
*0	0	County Wide	7925   		Pct 7925	5/30/2012 1:43:05 PM
*0	0	County Wide	7926   		Pct 7926	5/30/2012 1:43:05 PM
*0	0	County Wide	7927   		Pct 7927	5/30/2012 1:43:05 PM
*0	0	County Wide	7928   		Pct 7928	5/30/2012 1:43:05 PM
*0	0	County Wide	7929   		Pct 7929	5/30/2012 1:43:05 PM
*0	0	County Wide	7931   		Pct 7931	5/30/2012 1:43:05 PM
*0	0	County Wide	7932   		Pct 7932	5/30/2012 1:43:05 PM
*0	0	County Wide	7933   		Pct 7933	5/30/2012 1:43:05 PM
*0	0	County Wide	7934   		Pct 7934	5/30/2012 1:43:05 PM
*0	0	County Wide	7935   		Pct 7935	5/30/2012 1:43:05 PM
*0	0	County Wide	7936   		Pct 7936	5/30/2012 1:43:05 PM
